Escenario,CycD,CycE,CycA,CycB,E2F,p27,Rb,YAP,Cdc20,UbcH10,cdh1,NF2,LATS
data-01,1535.58089591595,200.7076284314,768.6039911093501,374.15622676609996,378.89208251549996,1493.1696162406502,1492.8011943801,1618.0091408510002,53.23570294655,516.22200849455,2256.9158951928002,1357.375916388,1366.31570568005
data-02,1970.8409883691,253.69565341975002,960.4472946654,479.24223551295,521.2465637681,1062.69462348295,1063.8122965166,1851.7172666624501,65.85310174240001,650.3408761124499,2072.09013701855,1119.2470086078,1130.8368900215
data-03,1947.15704681785,737.39638266685,954.3395850858999,474.58158248075,498.35854337675005,1082.24981542315,1083.50744313255,1842.45922617735,69.74729731505,641.1049162715,2078.5155092047,1131.3411587085998,1141.9403626732
data-04,1738.64254469495,670.06625646465,838.982546727,424.88541006915,457.31270979115004,1287.6999628324002,1288.1992299266,1633.1215324662,62.11359304465,565.33746263975,2187.4233258832,1343.20523957655,1351.1458661321499
data-05,1511.76095673945,571.7353223544501,748.08233809995,372.5389514386,390.01609699795,1507.2302098350501,1509.6475663692,1410.2329915764499,51.3146387487,508.9547967314,2276.176067951,1569.61757491405,1576.63408145645
data-12,1727.7910804382,677.3843770845999,849.8542951363,429.05937040515005,1666.9967365193502,1298.9862822508499,0.0,1625.1003848592,63.034112287250004,563.63337235195,2178.78516088995,1352.3145437537,1360.5722277918499
data-14,2999.0,1250.5576751142498,1533.5911562918,754.48121708835,762.93079819575,58.10335572835,0.0,2999.0,108.39411832744999,1008.24940416,1522.9564957481998,1457.81720532775,1459.09781834895
