CycD_x,CycD_y,CycE_x,CycE_y,CycA_x,CycA_y,CycB_x,CycB_y,E2F_x,E2F_y,p27_x,p27_y,Rb_x,Rb_y,YAP_x,YAP_y,Cdc20_x,Cdc20_y,UbcH10_x,UbcH10_y,cdh1_x,cdh1_y,NF2_x,NF2_y,LATS_x,LATS_y
0.,0.99,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.76,0.,0.79,0.,0.4,0.,0.,0.,0.,0.,1.,0.,0.61,0.,0.52
1.,0.98,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.6,1.,0.64,1.,0.35,1.,0.,1.,0.,1.,1.,1.,0.61,1.,0.55
2.,0.96,2.,0.,2.,0.,2.,0.,2.,0.01,2.,0.54,2.,0.6,2.,0.3,2.,0.,2.,0.,2.,1.,2.,0.61,2.,0.5
3.,0.94,3.,0.,3.,0.,3.,0.,3.,0.01,3.,0.45,3.,0.46,3.,0.29,3.,0.,3.,0.,3.,1.,3.,0.61,3.,0.54
4.,0.92,4.,0.,4.,0.,4.,0.,4.,0.02,4.,0.41,4.,0.43,4.,0.31,4.,0.,4.,0.,4.,1.,4.,0.61,4.,0.55
5.,0.91,5.,0.,5.,0.,5.,0.,5.,0.04,5.,0.31,5.,0.41,5.,0.31,5.,0.,5.,0.,5.,1.,5.,0.61,5.,0.55
6.,0.91,6.,0.,6.,0.,6.,0.,6.,0.05,6.,0.28,6.,0.34,6.,0.31,6.,0.,6.,0.,6.,1.,6.,0.61,6.,0.57
7.,0.89,7.,0.,7.,0.,7.,0.,7.,0.05,7.,0.26,7.,0.31,7.,0.33,7.,0.,7.,0.,7.,1.,7.,0.61,7.,0.59
8.,0.89,8.,0.,8.,0.,8.,0.,8.,0.06,8.,0.22,8.,0.27,8.,0.33,8.,0.,8.,0.,8.,1.,8.,0.61,8.,0.59
9.,0.88,9.,0.02,9.,0.,9.,0.,9.,0.06,9.,0.19,9.,0.21,9.,0.33,9.,0.,9.,0.,9.,1.,9.,0.61,9.,0.61
10.,0.87,10.,0.03,10.,0.,10.,0.,10.,0.09,10.,0.16,10.,0.19,10.,0.35,10.,0.,10.,0.,10.,1.,10.,0.61,10.,0.61
11.,0.87,11.,0.03,11.,0.,11.,0.,11.,0.09,11.,0.16,11.,0.19,11.,0.35,11.,0.,11.,0.,11.,1.,11.,0.61,11.,0.6
12.,0.89,12.,0.03,12.,0.,12.,0.,12.,0.09,12.,0.15,12.,0.16,12.,0.35,12.,0.,12.,0.,12.,1.,12.,0.61,12.,0.61
13.,0.9,13.,0.03,13.,0.,13.,0.,13.,0.09,13.,0.13,13.,0.14,13.,0.37,13.,0.,13.,0.,13.,1.,13.,0.61,13.,0.6
14.,0.88,14.,0.03,14.,0.,14.,0.,14.,0.1,14.,0.12,14.,0.15,14.,0.37,14.,0.,14.,0.,14.,1.,14.,0.61,14.,0.61
15.,0.88,15.,0.04,15.,0.01,15.,0.,15.,0.13,15.,0.1,15.,0.13,15.,0.36,15.,0.,15.,0.,15.,1.,15.,0.61,15.,0.61
16.,0.87,16.,0.04,16.,0.01,16.,0.,16.,0.14,16.,0.09,16.,0.13,16.,0.36,16.,0.,16.,0.,16.,1.,16.,0.61,16.,0.61
17.,0.84,17.,0.05,17.,0.01,17.,0.,17.,0.16,17.,0.1,17.,0.13,17.,0.37,17.,0.,17.,0.,17.,1.,17.,0.61,17.,0.6
18.,0.84,18.,0.06,18.,0.01,18.,0.,18.,0.17,18.,0.11,18.,0.14,18.,0.38,18.,0.,18.,0.,18.,1.,18.,0.61,18.,0.6
19.,0.84,19.,0.06,19.,0.01,19.,0.,19.,0.19,19.,0.13,19.,0.14,19.,0.38,19.,0.,19.,0.,19.,1.,19.,0.61,19.,0.6
20.,0.83,20.,0.06,20.,0.01,20.,0.,20.,0.19,20.,0.12,20.,0.14,20.,0.38,20.,0.,20.,0.,20.,1.,20.,0.61,20.,0.61
21.,0.8,21.,0.06,21.,0.01,21.,0.,21.,0.21,21.,0.16,21.,0.15,21.,0.38,21.,0.,21.,0.,21.,1.,21.,0.61,21.,0.61
