CycD_x,CycD_y,CycE_x,CycE_y,CycA_x,CycA_y,CycB_x,CycB_y,E2F_x,E2F_y,p27_x,p27_y,Rb_x,Rb_y,YAP_x,YAP_y,Cdc20_x,Cdc20_y,UbcH10_x,UbcH10_y,cdh1_x,cdh1_y,NF2_x,NF2_y,LATS_x,LATS_y
0.,1.,0.,0.,0.,0.,0.,0.,0.,0.03,0.,0.79,0.,0.78,0.,0.39,0.,0.,0.,0.,0.,1.,0.,0.35,0.,0.54
1.,0.98,1.,0.,1.,0.,1.,0.,1.,0.03,1.,0.67,1.,0.73,1.,0.38,1.,0.,1.,0.,1.,1.,1.,0.35,1.,0.54
2.,0.95,2.,0.,2.,0.,2.,0.,2.,0.03,2.,0.54,2.,0.62,2.,0.36,2.,0.,2.,0.,2.,1.,2.,0.35,2.,0.47
3.,0.93,3.,0.,3.,0.,3.,0.,3.,0.03,3.,0.42,3.,0.55,3.,0.37,3.,0.,3.,0.,3.,1.,3.,0.35,3.,0.45
4.,0.92,4.,0.,4.,0.,4.,0.,4.,0.03,4.,0.32,4.,0.45,4.,0.38,4.,0.,4.,0.,4.,1.,4.,0.35,4.,0.42
5.,0.92,5.,0.,5.,0.,5.,0.,5.,0.03,5.,0.29,5.,0.3,5.,0.39,5.,0.,5.,0.,5.,1.,5.,0.35,5.,0.41
6.,0.91,6.,0.,6.,0.,6.,0.,6.,0.03,6.,0.24,6.,0.3,6.,0.42,6.,0.,6.,0.,6.,1.,6.,0.35,6.,0.41
7.,0.9,7.,0.,7.,0.,7.,0.,7.,0.04,7.,0.2,7.,0.28,7.,0.45,7.,0.,7.,0.,7.,1.,7.,0.35,7.,0.41
8.,0.89,8.,0.01,8.,0.,8.,0.,8.,0.05,8.,0.22,8.,0.25,8.,0.46,8.,0.,8.,0.,8.,1.,8.,0.35,8.,0.41
9.,0.88,9.,0.01,9.,0.,9.,0.,9.,0.08,9.,0.19,9.,0.25,9.,0.48,9.,0.,9.,0.,9.,1.,9.,0.35,9.,0.39
10.,0.89,10.,0.01,10.,0.,10.,0.,10.,0.1,10.,0.18,10.,0.22,10.,0.53,10.,0.,10.,0.,10.,1.,10.,0.35,10.,0.39
11.,0.89,11.,0.01,11.,0.,11.,0.,11.,0.11,11.,0.15,11.,0.19,11.,0.59,11.,0.,11.,0.,11.,1.,11.,0.35,11.,0.38
