CycD_x,CycD_y,CycE_x,CycE_y,CycA_x,CycA_y,CycB_x,CycB_y,E2F_x,E2F_y,p27_x,p27_y,Rb_x,Rb_y,YAP_x,YAP_y,Cdc20_x,Cdc20_y,UbcH10_x,UbcH10_y,cdh1_x,cdh1_y,NF2_x,NF2_y,LATS_x,LATS_y
0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.83,0.,0.75,0.,0.41,0.,0.,0.,0.,0.,1.,0.,0.54,0.,0.52
1.,0.99,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.64,1.,0.63,1.,0.36,1.,0.,1.,0.,1.,1.,1.,0.54,1.,0.54
2.,0.97,2.,0.,2.,0.,2.,0.,2.,0.01,2.,0.52,2.,0.53,2.,0.32,2.,0.,2.,0.,2.,1.,2.,0.54,2.,0.57
3.,0.95,3.,0.,3.,0.,3.,0.,3.,0.02,3.,0.48,3.,0.39,3.,0.29,3.,0.,3.,0.,3.,1.,3.,0.54,3.,0.54
4.,0.94,4.,0.,4.,0.,4.,0.,4.,0.02,4.,0.45,4.,0.33,4.,0.26,4.,0.,4.,0.,4.,1.,4.,0.54,4.,0.54
5.,0.91,5.,0.,5.,0.,5.,0.,5.,0.03,5.,0.4,5.,0.27,5.,0.32,5.,0.,5.,0.,5.,1.,5.,0.54,5.,0.54
6.,0.91,6.,0.,6.,0.,6.,0.,6.,0.03,6.,0.33,6.,0.26,6.,0.32,6.,0.,6.,0.,6.,1.,6.,0.54,6.,0.51
7.,0.91,7.,0.,7.,0.,7.,0.,7.,0.05,7.,0.29,7.,0.22,7.,0.32,7.,0.,7.,0.,7.,1.,7.,0.54,7.,0.51
8.,0.87,8.,0.,8.,0.,8.,0.,8.,0.07,8.,0.27,8.,0.2,8.,0.35,8.,0.,8.,0.,8.,1.,8.,0.54,8.,0.5
9.,0.87,9.,0.,9.,0.,9.,0.,9.,0.08,9.,0.23,9.,0.19,9.,0.35,9.,0.,9.,0.,9.,1.,9.,0.54,9.,0.51
10.,0.86,10.,0.01,10.,0.,10.,0.,10.,0.09,10.,0.21,10.,0.16,10.,0.38,10.,0.,10.,0.,10.,1.,10.,0.54,10.,0.51
11.,0.85,11.,0.02,11.,0.,11.,0.,11.,0.11,11.,0.2,11.,0.16,11.,0.38,11.,0.,11.,0.,11.,1.,11.,0.54,11.,0.53
12.,0.84,12.,0.02,12.,0.,12.,0.,12.,0.12,12.,0.19,12.,0.18,12.,0.42,12.,0.,12.,0.,12.,1.,12.,0.54,12.,0.53
13.,0.85,13.,0.02,13.,0.,13.,0.,13.,0.14,13.,0.17,13.,0.17,13.,0.43,13.,0.,13.,0.,13.,1.,13.,0.54,13.,0.53
14.,0.84,14.,0.03,14.,0.,14.,0.,14.,0.16,14.,0.18,14.,0.17,14.,0.43,14.,0.,14.,0.,14.,1.,14.,0.54,14.,0.53
15.,0.84,15.,0.04,15.,0.,15.,0.,15.,0.17,15.,0.18,15.,0.17,15.,0.45,15.,0.,15.,0.,15.,1.,15.,0.54,15.,0.53
16.,0.84,16.,0.04,16.,0.,16.,0.,16.,0.19,16.,0.17,16.,0.18,16.,0.45,16.,0.,16.,0.,16.,1.,16.,0.54,16.,0.53
17.,0.85,17.,0.04,17.,0.,17.,0.,17.,0.21,17.,0.17,17.,0.17,17.,0.45,17.,0.,17.,0.,17.,1.,17.,0.54,17.,0.54
18.,0.85,18.,0.06,18.,0.01,18.,0.,18.,0.24,18.,0.15,18.,0.18,18.,0.44,18.,0.,18.,0.,18.,1.,18.,0.54,18.,0.54
19.,0.85,19.,0.06,19.,0.01,19.,0.,19.,0.25,19.,0.16,19.,0.18,19.,0.44,19.,0.,19.,0.,19.,0.99,19.,0.54,19.,0.54
20.,0.83,20.,0.07,20.,0.02,20.,0.,20.,0.25,20.,0.16,20.,0.18,20.,0.46,20.,0.,20.,0.,20.,0.98,20.,0.54,20.,0.54
21.,0.83,21.,0.07,21.,0.02,21.,0.,21.,0.24,21.,0.16,21.,0.21,21.,0.46,21.,0.,21.,0.,21.,0.98,21.,0.54,21.,0.54
22.,0.83,22.,0.07,22.,0.02,22.,0.,22.,0.25,22.,0.16,22.,0.21,22.,0.46,22.,0.,22.,0.,22.,0.98,22.,0.54,22.,0.54
23.,0.82,23.,0.07,23.,0.02,23.,0.,23.,0.25,23.,0.16,23.,0.21,23.,0.46,23.,0.,23.,0.,23.,0.98,23.,0.54,23.,0.54
24.,0.81,24.,0.07,24.,0.02,24.,0.,24.,0.23,24.,0.16,24.,0.21,24.,0.46,24.,0.,24.,0.,24.,0.98,24.,0.54,24.,0.54
25.,0.81,25.,0.07,25.,0.02,25.,0.,25.,0.23,25.,0.16,25.,0.19,25.,0.46,25.,0.,25.,0.,25.,0.98,25.,0.54,25.,0.54
26.,0.81,26.,0.09,26.,0.02,26.,0.,26.,0.25,26.,0.17,26.,0.19,26.,0.46,26.,0.,26.,0.,26.,0.98,26.,0.54,26.,0.54
27.,0.8,27.,0.09,27.,0.02,27.,0.,27.,0.25,27.,0.18,27.,0.19,27.,0.46,27.,0.,27.,0.,27.,0.98,27.,0.54,27.,0.54
28.,0.8,28.,0.1,28.,0.02,28.,0.,28.,0.26,28.,0.19,28.,0.19,28.,0.46,28.,0.,28.,0.,28.,0.98,28.,0.54,28.,0.54
29.,0.8,29.,0.11,29.,0.02,29.,0.,29.,0.28,29.,0.19,29.,0.19,29.,0.46,29.,0.,29.,0.,29.,0.98,29.,0.54,29.,0.54
30.,0.78,30.,0.11,30.,0.02,30.,0.,30.,0.28,30.,0.21,30.,0.19,30.,0.46,30.,0.,30.,0.,30.,0.98,30.,0.54,30.,0.54
31.,0.76,31.,0.11,31.,0.02,31.,0.,31.,0.28,31.,0.21,31.,0.19,31.,0.46,31.,0.,31.,0.,31.,0.98,31.,0.54,31.,0.54
32.,0.76,32.,0.11,32.,0.02,32.,0.,32.,0.28,32.,0.21,32.,0.2,32.,0.46,32.,0.,32.,0.,32.,0.98,32.,0.54,32.,0.54
33.,0.76,33.,0.11,33.,0.02,33.,0.,33.,0.28,33.,0.22,33.,0.21,33.,0.46,33.,0.,33.,0.,33.,0.98,33.,0.54,33.,0.54
34.,0.76,34.,0.11,34.,0.02,34.,0.,34.,0.3,34.,0.22,34.,0.22,34.,0.46,34.,0.,34.,0.,34.,0.98,34.,0.54,34.,0.54
35.,0.76,35.,0.11,35.,0.02,35.,0.,35.,0.33,35.,0.23,35.,0.23,35.,0.46,35.,0.,35.,0.,35.,0.98,35.,0.54,35.,0.54
36.,0.76,36.,0.12,36.,0.02,36.,0.,36.,0.35,36.,0.24,36.,0.23,36.,0.46,36.,0.,36.,0.,36.,0.98,36.,0.54,36.,0.54
37.,0.75,37.,0.11,37.,0.03,37.,0.,37.,0.36,37.,0.24,37.,0.23,37.,0.46,37.,0.,37.,0.,37.,0.97,37.,0.54,37.,0.54
38.,0.74,38.,0.11,38.,0.05,38.,0.,38.,0.35,38.,0.24,38.,0.23,38.,0.46,38.,0.,38.,0.,38.,0.97,38.,0.54,38.,0.54
39.,0.73,39.,0.11,39.,0.05,39.,0.01,39.,0.35,39.,0.24,39.,0.23,39.,0.46,39.,0.,39.,0.,39.,0.97,39.,0.54,39.,0.54
40.,0.73,40.,0.13,40.,0.05,40.,0.01,40.,0.34,40.,0.25,40.,0.23,40.,0.46,40.,0.,40.,0.,40.,0.97,40.,0.54,40.,0.54
41.,0.72,41.,0.13,41.,0.05,41.,0.01,41.,0.34,41.,0.27,41.,0.24,41.,0.46,41.,0.,41.,0.,41.,0.97,41.,0.54,41.,0.54
