CycD_x,CycD_y,CycE_x,CycE_y,CycA_x,CycA_y,CycB_x,CycB_y,E2F_x,E2F_y,p27_x,p27_y,Rb_x,Rb_y,YAP_x,YAP_y,Cdc20_x,Cdc20_y,UbcH10_x,UbcH10_y,cdh1_x,cdh1_y,NF2_x,NF2_y,LATS_x,LATS_y
0.,0.98,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.84,0.,0.77,0.,0.42,0.,0.,0.,0.,0.,1.,0.,0.54,0.,0.52
1.,0.87,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.68,1.,0.64,1.,0.37,1.,0.,1.,0.,1.,1.,1.,0.54,1.,0.54
2.,0.77,2.,0.,2.,0.,2.,0.,2.,0.03,2.,0.61,2.,0.6,2.,0.35,2.,0.,2.,0.,2.,1.,2.,0.54,2.,0.57
3.,0.65,3.,0.,3.,0.,3.,0.,3.,0.03,3.,0.59,3.,0.51,3.,0.31,3.,0.,3.,0.,3.,1.,3.,0.54,3.,0.55
4.,0.62,4.,0.,4.,0.,4.,0.,4.,0.06,4.,0.55,4.,0.47,4.,0.29,4.,0.,4.,0.,4.,1.,4.,0.54,4.,0.54
5.,0.54,5.,0.01,5.,0.,5.,0.,5.,0.05,5.,0.58,5.,0.48,5.,0.33,5.,0.,5.,0.,5.,1.,5.,0.54,5.,0.55
6.,0.5,6.,0.01,6.,0.,6.,0.,6.,0.06,6.,0.54,6.,0.49,6.,0.33,6.,0.,6.,0.,6.,1.,6.,0.54,6.,0.54
7.,0.43,7.,0.01,7.,0.,7.,0.,7.,0.06,7.,0.54,7.,0.51,7.,0.35,7.,0.,7.,0.,7.,1.,7.,0.54,7.,0.54
8.,0.41,8.,0.01,8.,0.,8.,0.,8.,0.08,8.,0.55,8.,0.5,8.,0.37,8.,0.,8.,0.,8.,1.,8.,0.54,8.,0.53
9.,0.39,9.,0.01,9.,0.,9.,0.,9.,0.09,9.,0.55,9.,0.53,9.,0.39,9.,0.,9.,0.,9.,1.,9.,0.54,9.,0.54
