CycD_x,CycD_y,CycE_x,CycE_y,CycA_x,CycA_y,CycB_x,CycB_y,E2F_x,E2F_y,p27_x,p27_y,Rb_x,Rb_y,YAP_x,YAP_y,Cdc20_x,Cdc20_y,UbcH10_x,UbcH10_y,cdh1_x,cdh1_y,NF2_x,NF2_y,LATS_x,LATS_y
0.,1.,0.,0.01,0.,0.,0.,0.,0.,0.03,0.,0.8,0.,0.78,0.,0.39,0.,0.,0.,0.,0.,1.,0.,0.35,0.,0.54
1.,0.98,1.,0.01,1.,0.,1.,0.,1.,0.03,1.,0.68,1.,0.73,1.,0.38,1.,0.,1.,0.,1.,1.,1.,0.35,1.,0.53
2.,0.95,2.,0.02,2.,0.,2.,0.,2.,0.03,2.,0.55,2.,0.62,2.,0.37,2.,0.,2.,0.,2.,1.,2.,0.35,2.,0.46
3.,0.93,3.,0.02,3.,0.01,3.,0.,3.,0.03,3.,0.43,3.,0.55,3.,0.39,3.,0.,3.,0.,3.,1.,3.,0.35,3.,0.44
4.,0.92,4.,0.02,4.,0.01,4.,0.,4.,0.03,4.,0.33,4.,0.45,4.,0.39,4.,0.,4.,0.,4.,1.,4.,0.35,4.,0.42
5.,0.92,5.,0.02,5.,0.01,5.,0.,5.,0.03,5.,0.3,5.,0.3,5.,0.4,5.,0.,5.,0.,5.,1.,5.,0.35,5.,0.41
6.,0.91,6.,0.02,6.,0.02,6.,0.,6.,0.03,6.,0.25,6.,0.3,6.,0.43,6.,0.,6.,0.,6.,1.,6.,0.35,6.,0.41
7.,0.9,7.,0.02,7.,0.02,7.,0.,7.,0.04,7.,0.21,7.,0.28,7.,0.46,7.,0.,7.,0.,7.,0.99,7.,0.35,7.,0.41
8.,0.89,8.,0.02,8.,0.02,8.,0.,8.,0.05,8.,0.23,8.,0.25,8.,0.47,8.,0.,8.,0.,8.,0.99,8.,0.35,8.,0.41
9.,0.88,9.,0.02,9.,0.02,9.,0.,9.,0.08,9.,0.2,9.,0.25,9.,0.49,9.,0.,9.,0.,9.,0.99,9.,0.35,9.,0.39
10.,0.89,10.,0.02,10.,0.02,10.,0.,10.,0.1,10.,0.19,10.,0.22,10.,0.53,10.,0.,10.,0.,10.,0.99,10.,0.35,10.,0.39
11.,0.89,11.,0.05,11.,0.02,11.,0.01,11.,0.11,11.,0.17,11.,0.19,11.,0.59,11.,0.,11.,0.,11.,0.99,11.,0.35,11.,0.38
12.,0.88,12.,0.06,12.,0.02,12.,0.01,12.,0.11,12.,0.13,12.,0.18,12.,0.59,12.,0.,12.,0.,12.,0.99,12.,0.35,12.,0.37
13.,0.88,13.,0.06,13.,0.02,13.,0.01,13.,0.13,13.,0.14,13.,0.17,13.,0.59,13.,0.,13.,0.,13.,0.99,13.,0.35,13.,0.37
14.,0.89,14.,0.06,14.,0.02,14.,0.01,14.,0.15,14.,0.14,14.,0.14,14.,0.6,14.,0.,14.,0.,14.,0.98,14.,0.35,14.,0.36
15.,0.89,15.,0.06,15.,0.02,15.,0.01,15.,0.15,15.,0.13,15.,0.13,15.,0.59,15.,0.,15.,0.,15.,0.98,15.,0.35,15.,0.36
16.,0.89,16.,0.08,16.,0.02,16.,0.02,16.,0.17,16.,0.13,16.,0.13,16.,0.58,16.,0.,16.,0.,16.,0.98,16.,0.35,16.,0.36
17.,0.9,17.,0.08,17.,0.02,17.,0.02,17.,0.18,17.,0.14,17.,0.13,17.,0.58,17.,0.,17.,0.,17.,0.98,17.,0.35,17.,0.36
