CycD_x,CycD_y,CycE_x,CycE_y,CycA_x,CycA_y,CycB_x,CycB_y,E2F_x,E2F_y,p27_x,p27_y,Rb_x,Rb_y,YAP_x,YAP_y,Cdc20_x,Cdc20_y,UbcH10_x,UbcH10_y,cdh1_x,cdh1_y,NF2_x,NF2_y,LATS_x,LATS_y
0.,0.97,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.73,0.,0.78,0.,0.42,0.,0.,0.,0.,0.,1.,0.,0.54,0.,0.37
1.,0.87,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.63,1.,0.66,1.,0.38,1.,0.,1.,0.,1.,1.,1.,0.54,1.,0.32
2.,0.78,2.,0.,2.,0.,2.,0.,2.,0.02,2.,0.56,2.,0.61,2.,0.32,2.,0.,2.,0.,2.,1.,2.,0.54,2.,0.22
3.,0.67,3.,0.,3.,0.,3.,0.,3.,0.02,3.,0.5,3.,0.55,3.,0.28,3.,0.,3.,0.,3.,1.,3.,0.54,3.,0.18
4.,0.61,4.,0.,4.,0.,4.,0.,4.,0.03,4.,0.46,4.,0.5,4.,0.27,4.,0.,4.,0.,4.,1.,4.,0.54,4.,0.14
5.,0.56,5.,0.01,5.,0.,5.,0.,5.,0.03,5.,0.5,5.,0.51,5.,0.31,5.,0.,5.,0.,5.,1.,5.,0.54,5.,0.11
6.,0.54,6.,0.01,6.,0.,6.,0.,6.,0.04,6.,0.49,6.,0.52,6.,0.33,6.,0.,6.,0.,6.,1.,6.,0.54,6.,0.09
7.,0.51,7.,0.01,7.,0.,7.,0.,7.,0.04,7.,0.49,7.,0.52,7.,0.35,7.,0.,7.,0.,7.,1.,7.,0.54,7.,0.08
8.,0.49,8.,0.01,8.,0.,8.,0.,8.,0.05,8.,0.5,8.,0.5,8.,0.36,8.,0.,8.,0.,8.,1.,8.,0.54,8.,0.04
9.,0.46,9.,0.01,9.,0.,9.,0.,9.,0.05,9.,0.47,9.,0.49,9.,0.37,9.,0.,9.,0.,9.,1.,9.,0.54,9.,0.03
10.,0.45,10.,0.01,10.,0.,10.,0.,10.,0.07,10.,0.55,10.,0.5,10.,0.4,10.,0.,10.,0.,10.,1.,10.,0.54,10.,0.03
11.,0.43,11.,0.01,11.,0.,11.,0.,11.,0.06,11.,0.55,11.,0.51,11.,0.41,11.,0.,11.,0.,11.,1.,11.,0.54,11.,0.03
12.,0.42,12.,0.01,12.,0.,12.,0.,12.,0.06,12.,0.55,12.,0.54,12.,0.41,12.,0.,12.,0.,12.,1.,12.,0.54,12.,0.03
13.,0.41,13.,0.01,13.,0.,13.,0.,13.,0.06,13.,0.55,13.,0.53,13.,0.43,13.,0.,13.,0.,13.,1.,13.,0.54,13.,0.03
14.,0.38,14.,0.01,14.,0.,14.,0.,14.,0.07,14.,0.59,14.,0.53,14.,0.44,14.,0.,14.,0.,14.,1.,14.,0.54,14.,0.02
15.,0.38,15.,0.01,15.,0.,15.,0.,15.,0.07,15.,0.59,15.,0.56,15.,0.44,15.,0.,15.,0.,15.,1.,15.,0.54,15.,0.02
16.,0.39,16.,0.01,16.,0.,16.,0.,16.,0.07,16.,0.58,16.,0.59,16.,0.44,16.,0.,16.,0.,16.,1.,16.,0.54,16.,0.01
17.,0.37,17.,0.01,17.,0.,17.,0.,17.,0.07,17.,0.58,17.,0.61,17.,0.44,17.,0.,17.,0.,17.,1.,17.,0.54,17.,0.01
18.,0.35,18.,0.01,18.,0.,18.,0.,18.,0.07,18.,0.6,18.,0.6,18.,0.45,18.,0.,18.,0.,18.,1.,18.,0.54,18.,0.
19.,0.35,19.,0.01,19.,0.,19.,0.,19.,0.08,19.,0.62,19.,0.59,19.,0.45,19.,0.,19.,0.,19.,1.,19.,0.54,19.,0.
20.,0.35,20.,0.01,20.,0.,20.,0.,20.,0.07,20.,0.62,20.,0.63,20.,0.46,20.,0.,20.,0.,20.,1.,20.,0.54,20.,0.
21.,0.36,21.,0.01,21.,0.,21.,0.,21.,0.06,21.,0.62,21.,0.63,21.,0.46,21.,0.,21.,0.,21.,1.,21.,0.54,21.,0.
22.,0.36,22.,0.02,22.,0.,22.,0.,22.,0.07,22.,0.63,22.,0.63,22.,0.47,22.,0.,22.,0.,22.,1.,22.,0.54,22.,0.
23.,0.35,23.,0.02,23.,0.01,23.,0.,23.,0.07,23.,0.63,23.,0.65,23.,0.47,23.,0.,23.,0.,23.,1.,23.,0.54,23.,0.
24.,0.35,24.,0.02,24.,0.01,24.,0.,24.,0.07,24.,0.63,24.,0.64,24.,0.47,24.,0.,24.,0.,24.,1.,24.,0.54,24.,0.
25.,0.34,25.,0.02,25.,0.01,25.,0.,25.,0.07,25.,0.64,25.,0.65,25.,0.47,25.,0.,25.,0.,25.,0.99,25.,0.54,25.,0.
26.,0.34,26.,0.02,26.,0.01,26.,0.,26.,0.06,26.,0.64,26.,0.65,26.,0.47,26.,0.,26.,0.,26.,0.99,26.,0.54,26.,0.
27.,0.34,27.,0.02,27.,0.01,27.,0.,27.,0.05,27.,0.64,27.,0.65,27.,0.46,27.,0.,27.,0.,27.,0.99,27.,0.54,27.,0.
28.,0.34,28.,0.02,28.,0.01,28.,0.,28.,0.06,28.,0.64,28.,0.65,28.,0.46,28.,0.,28.,0.,28.,0.99,28.,0.54,28.,0.
29.,0.34,29.,0.02,29.,0.01,29.,0.,29.,0.08,29.,0.64,29.,0.66,29.,0.46,29.,0.,29.,0.,29.,0.99,29.,0.54,29.,0.
30.,0.33,30.,0.02,30.,0.01,30.,0.,30.,0.08,30.,0.65,30.,0.66,30.,0.46,30.,0.,30.,0.,30.,0.99,30.,0.54,30.,0.
31.,0.34,31.,0.02,31.,0.01,31.,0.,31.,0.08,31.,0.65,31.,0.66,31.,0.46,31.,0.,31.,0.,31.,0.99,31.,0.54,31.,0.
32.,0.34,32.,0.02,32.,0.01,32.,0.,32.,0.08,32.,0.65,32.,0.67,32.,0.46,32.,0.,32.,0.,32.,0.99,32.,0.54,32.,0.
33.,0.34,33.,0.02,33.,0.01,33.,0.,33.,0.08,33.,0.66,33.,0.67,33.,0.46,33.,0.,33.,0.,33.,0.99,33.,0.54,33.,0.
34.,0.34,34.,0.02,34.,0.01,34.,0.,34.,0.08,34.,0.65,34.,0.66,34.,0.46,34.,0.,34.,0.,34.,0.99,34.,0.54,34.,0.
35.,0.34,35.,0.02,35.,0.01,35.,0.,35.,0.09,35.,0.66,35.,0.66,35.,0.46,35.,0.,35.,0.,35.,0.99,35.,0.54,35.,0.
36.,0.34,36.,0.02,36.,0.01,36.,0.,36.,0.1,36.,0.66,36.,0.66,36.,0.46,36.,0.,36.,0.,36.,0.99,36.,0.54,36.,0.
37.,0.33,37.,0.02,37.,0.01,37.,0.,37.,0.1,37.,0.67,37.,0.66,37.,0.46,37.,0.,37.,0.,37.,0.99,37.,0.54,37.,0.
38.,0.33,38.,0.02,38.,0.03,38.,0.,38.,0.1,38.,0.67,38.,0.66,38.,0.46,38.,0.,38.,0.,38.,0.99,38.,0.54,38.,0.
39.,0.33,39.,0.01,39.,0.03,39.,0.,39.,0.11,39.,0.67,39.,0.66,39.,0.46,39.,0.,39.,0.,39.,0.99,39.,0.54,39.,0.
40.,0.33,40.,0.02,40.,0.04,40.,0.,40.,0.11,40.,0.67,40.,0.67,40.,0.46,40.,0.,40.,0.,40.,0.98,40.,0.54,40.,0.
41.,0.33,41.,0.02,41.,0.04,41.,0.,41.,0.12,41.,0.68,41.,0.67,41.,0.46,41.,0.,41.,0.,41.,0.98,41.,0.54,41.,0.
42.,0.34,42.,0.02,42.,0.04,42.,0.,42.,0.12,42.,0.68,42.,0.67,42.,0.46,42.,0.,42.,0.,42.,0.98,42.,0.54,42.,0.
43.,0.34,43.,0.02,43.,0.04,43.,0.,43.,0.13,43.,0.67,43.,0.67,43.,0.46,43.,0.,43.,0.,43.,0.98,43.,0.54,43.,0.
44.,0.34,44.,0.02,44.,0.04,44.,0.,44.,0.14,44.,0.67,44.,0.67,44.,0.46,44.,0.,44.,0.,44.,0.98,44.,0.54,44.,0.
45.,0.35,45.,0.02,45.,0.04,45.,0.,45.,0.14,45.,0.67,45.,0.67,45.,0.46,45.,0.,45.,0.,45.,0.98,45.,0.54,45.,0.
46.,0.35,46.,0.02,46.,0.04,46.,0.,46.,0.14,46.,0.67,46.,0.67,46.,0.46,46.,0.,46.,0.,46.,0.97,46.,0.54,46.,0.
47.,0.35,47.,0.02,47.,0.04,47.,0.,47.,0.14,47.,0.65,47.,0.67,47.,0.46,47.,0.,47.,0.,47.,0.97,47.,0.54,47.,0.
48.,0.36,48.,0.02,48.,0.04,48.,0.,48.,0.14,48.,0.65,48.,0.66,48.,0.46,48.,0.,48.,0.,48.,0.97,48.,0.54,48.,0.
49.,0.37,49.,0.02,49.,0.04,49.,0.01,49.,0.13,49.,0.64,49.,0.66,49.,0.46,49.,0.,49.,0.,49.,0.97,49.,0.54,49.,0.
50.,0.37,50.,0.01,50.,0.04,50.,0.01,50.,0.12,50.,0.64,50.,0.65,50.,0.46,50.,0.,50.,0.,50.,0.97,50.,0.54,50.,0.
51.,0.37,51.,0.01,51.,0.04,51.,0.02,51.,0.13,51.,0.64,51.,0.65,51.,0.46,51.,0.,51.,0.,51.,0.97,51.,0.54,51.,0.
52.,0.37,52.,0.01,52.,0.04,52.,0.02,52.,0.13,52.,0.64,52.,0.65,52.,0.46,52.,0.,52.,0.01,52.,0.97,52.,0.54,52.,0.
53.,0.37,53.,0.01,53.,0.04,53.,0.02,53.,0.13,53.,0.63,53.,0.63,53.,0.46,53.,0.,53.,0.01,53.,0.97,53.,0.54,53.,0.
54.,0.37,54.,0.01,54.,0.04,54.,0.02,54.,0.13,54.,0.63,54.,0.63,54.,0.46,54.,0.,54.,0.01,54.,0.97,54.,0.54,54.,0.
55.,0.38,55.,0.02,55.,0.05,55.,0.02,55.,0.14,55.,0.63,55.,0.63,55.,0.46,55.,0.01,55.,0.01,55.,0.97,55.,0.54,55.,0.
56.,0.38,56.,0.02,56.,0.07,56.,0.02,56.,0.13,56.,0.63,56.,0.63,56.,0.46,56.,0.01,56.,0.01,56.,0.96,56.,0.54,56.,0.
57.,0.39,57.,0.03,57.,0.06,57.,0.01,57.,0.13,57.,0.63,57.,0.63,57.,0.46,57.,0.01,57.,0.01,57.,0.96,57.,0.54,57.,0.
58.,0.39,58.,0.03,58.,0.06,58.,0.01,58.,0.13,58.,0.63,58.,0.63,58.,0.46,58.,0.01,58.,0.01,58.,0.95,58.,0.54,58.,0.
59.,0.39,59.,0.05,59.,0.07,59.,0.02,59.,0.13,59.,0.63,59.,0.63,59.,0.46,59.,0.01,59.,0.01,59.,0.95,59.,0.54,59.,0.
60.,0.39,60.,0.05,60.,0.07,60.,0.02,60.,0.13,60.,0.63,60.,0.63,60.,0.46,60.,0.,60.,0.01,60.,0.95,60.,0.54,60.,0.
61.,0.39,61.,0.05,61.,0.09,61.,0.02,61.,0.13,61.,0.62,61.,0.63,61.,0.46,61.,0.,61.,0.01,61.,0.94,61.,0.54,61.,0.
62.,0.39,62.,0.05,62.,0.09,62.,0.02,62.,0.13,62.,0.62,62.,0.63,62.,0.46,62.,0.,62.,0.01,62.,0.93,62.,0.54,62.,0.
63.,0.39,63.,0.04,63.,0.09,63.,0.02,63.,0.12,63.,0.62,63.,0.63,63.,0.46,63.,0.,63.,0.01,63.,0.93,63.,0.54,63.,0.
64.,0.39,64.,0.04,64.,0.09,64.,0.02,64.,0.1,64.,0.62,64.,0.62,64.,0.46,64.,0.,64.,0.01,64.,0.93,64.,0.54,64.,0.
65.,0.39,65.,0.04,65.,0.09,65.,0.01,65.,0.11,65.,0.62,65.,0.62,65.,0.46,65.,0.01,65.,0.02,65.,0.93,65.,0.54,65.,0.
66.,0.39,66.,0.04,66.,0.09,66.,0.01,66.,0.12,66.,0.62,66.,0.62,66.,0.46,66.,0.01,66.,0.02,66.,0.93,66.,0.54,66.,0.
67.,0.39,67.,0.04,67.,0.09,67.,0.01,67.,0.13,67.,0.62,67.,0.61,67.,0.46,67.,0.01,67.,0.02,67.,0.93,67.,0.54,67.,0.
68.,0.39,68.,0.04,68.,0.1,68.,0.01,68.,0.15,68.,0.62,68.,0.61,68.,0.46,68.,0.01,68.,0.02,68.,0.93,68.,0.54,68.,0.
69.,0.4,69.,0.04,69.,0.1,69.,0.01,69.,0.14,69.,0.62,69.,0.61,69.,0.46,69.,0.01,69.,0.02,69.,0.93,69.,0.54,69.,0.
70.,0.4,70.,0.04,70.,0.09,70.,0.01,70.,0.14,70.,0.61,70.,0.61,70.,0.46,70.,0.01,70.,0.02,70.,0.92,70.,0.54,70.,0.
71.,0.41,71.,0.04,71.,0.09,71.,0.01,71.,0.14,71.,0.6,71.,0.6,71.,0.46,71.,0.01,71.,0.02,71.,0.92,71.,0.54,71.,0.
72.,0.41,72.,0.05,72.,0.09,72.,0.02,72.,0.15,72.,0.6,72.,0.6,72.,0.46,72.,0.01,72.,0.02,72.,0.92,72.,0.54,72.,0.
73.,0.41,73.,0.05,73.,0.09,73.,0.02,73.,0.15,73.,0.6,73.,0.59,73.,0.46,73.,0.01,73.,0.02,73.,0.92,73.,0.54,73.,0.
74.,0.42,74.,0.05,74.,0.09,74.,0.03,74.,0.15,74.,0.6,74.,0.59,74.,0.46,74.,0.02,74.,0.02,74.,0.91,74.,0.54,74.,0.
75.,0.42,75.,0.05,75.,0.1,75.,0.03,75.,0.15,75.,0.6,75.,0.59,75.,0.46,75.,0.02,75.,0.02,75.,0.91,75.,0.54,75.,0.
76.,0.4257425743,76.,0.0495049505,76.,0.099009901,76.,0.0297029703,76.,0.1584158416,76.,0.6138613861,76.,0.6039603960,76.,0.4455445545,76.,0.0099009901,76.,0.0099009901,76.,0.9108910891,76.,0.5346534653,76.,0.
77.,0.4257425743,77.,0.0495049505,77.,0.1089108911,77.,0.0297029703,77.,0.1683168317,77.,0.6039603960,77.,0.5940594059,77.,0.4455445545,77.,0.0099009901,77.,0.0099009901,77.,0.9108910891,77.,0.5346534653,77.,0.
78.,0.4257425743,78.,0.0594059406,78.,0.1089108911,78.,0.0297029703,78.,0.1683168317,78.,0.5940594059,78.,0.5940594059,78.,0.4455445545,78.,0.0099009901,78.,0.0099009901,78.,0.9108910891,78.,0.5346534653,78.,0.
79.,0.4257425743,79.,0.0594059406,79.,0.1089108911,79.,0.0297029703,79.,0.1584158416,79.,0.5940594059,79.,0.5940594059,79.,0.4554455446,79.,0.0198019802,79.,0.0099009901,79.,0.9108910891,79.,0.5346534653,79.,0.
