MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
225,111,85,14,4,8,0
226,111,85,14,4,8,0
227,111,84,14,5,8,0
228,111,84,14,5,8,0
229,111,84,14,5,8,0
230,111,83,13,7,8,0
231,111,83,13,7,8,0
232,111,84,13,7,7,0
233,111,84,13,6,8,0
234,111,84,13,6,8,0
235,111,85,13,6,7,0
236,111,85,13,6,7,0
237,111,85,13,6,7,0
238,111,85,13,6,7,0
239,112,85,13,6,7,1
240,112,88,13,4,7,0
241,112,88,14,4,6,0
242,112,88,14,4,6,0
243,112,87,15,4,6,0
244,112,88,14,4,6,0
245,112,88,14,4,6,0
246,112,88,13,5,6,0
247,112,88,13,5,6,0
248,112,86,13,6,7,0
249,112,85,13,6,8,0
250,112,86,13,5,8,0
251,113,86,12,6,8,1
252,113,87,11,7,8,0
253,114,87,11,6,9,1
254,114,88,10,7,9,0
255,114,87,11,7,9,0
256,114,86,12,7,9,0
257,115,87,12,7,8,1
258,116,88,13,6,8,1
259,117,89,13,6,8,1
260,117,91,14,5,7,0
261,117,90,15,5,7,0
262,117,89,16,5,7,0
263,117,90,17,3,7,0
264,117,90,16,4,7,0
265,117,89,17,4,7,0
266,118,89,16,5,7,1
267,118,91,15,4,8,0
268,118,92,15,4,7,0
269,118,91,15,4,8,0
270,118,92,15,3,8,0
271,118,90,16,3,9,0
272,118,89,17,3,9,0
273,119,89,17,3,9,1
274,119,91,17,3,8,0
275,119,90,17,4,8,0
276,119,90,17,4,8,0
277,119,89,16,5,9,0
278,119,87,17,5,10,0
279,120,87,17,5,10,1
280,121,90,17,5,8,1
281,121,88,19,5,9,0
282,121,89,18,5,9,0
283,121,89,19,5,8,0
284,121,90,19,5,7,0
285,121,89,19,5,8,0
286,121,87,21,5,8,0
287,121,87,21,5,8,0
288,122,88,20,6,7,1
289,122,90,20,5,7,0
290,122,89,21,5,7,0
291,122,90,21,4,7,0
292,122,86,24,4,8,0
293,123,86,24,5,7,1
294,123,86,23,7,7,0
295,123,86,23,7,7,0
296,124,85,24,7,7,1
297,124,85,25,7,7,0
298,124,85,25,7,7,0
299,124,85,25,7,7,0
300,124,85,26,7,6,0
301,124,85,26,7,6,0
302,124,84,26,7,7,0
303,124,86,26,6,6,0
304,124,86,24,8,6,0
305,124,86,24,8,6,0
306,124,86,23,9,6,0
307,124,88,23,7,6,0
308,124,87,23,8,6,0
309,124,87,23,8,6,0
310,124,87,23,8,6,0
311,124,86,22,9,7,0
312,124,84,23,10,7,0
313,124,83,23,10,8,0
314,124,84,23,10,7,0
315,124,83,23,11,7,0
316,124,83,23,11,7,0
317,124,82,22,13,7,0
318,125,82,20,15,7,1
319,125,83,21,14,7,0
320,125,85,21,12,7,0
321,125,86,21,11,7,0
322,125,85,21,12,7,0
323,125,86,21,11,7,0
324,125,86,20,11,8,0
325,125,86,21,10,8,0
326,125,86,20,11,8,0
327,125,87,20,11,7,0
328,125,87,20,11,7,0
329,125,87,20,11,7,0
330,125,87,19,12,7,0
331,125,87,19,12,7,0
332,125,86,20,12,7,0
333,125,87,19,12,7,0
334,125,89,19,10,7,0
335,125,91,17,11,6,0
336,125,89,18,12,6,0
337,125,88,18,12,7,0
338,125,88,18,12,7,0
339,125,88,18,12,7,0
340,125,88,18,12,7,0
341,125,88,18,12,7,0
342,126,88,17,13,7,1
343,126,87,17,14,8,0
344,127,89,17,12,8,1
345,127,89,17,12,9,0
346,127,89,17,12,9,0
347,127,89,17,12,9,0
348,127,90,17,11,9,0
349,127,91,17,10,9,0
350,127,91,17,10,9,0
351,127,89,18,9,11,0
352,127,89,19,8,11,0
353,127,90,19,8,10,0
354,127,91,19,7,10,0
355,127,92,18,8,9,0
356,127,92,18,8,9,0
357,127,91,18,8,10,0
358,127,90,17,9,11,0
359,127,89,18,9,11,0
360,127,90,17,10,10,0
361,127,89,17,10,11,0
362,127,90,15,11,11,0
363,128,88,17,11,11,1
364,130,89,16,12,11,2
365,130,92,16,12,10,0
366,130,93,16,11,10,0
367,130,91,18,11,10,0
368,130,91,18,11,10,0
369,130,91,17,12,10,0
370,130,92,17,11,10,0
371,130,92,17,11,10,0
372,130,91,17,11,11,0
373,130,93,17,8,12,0
374,130,91,17,7,15,0
375,130,91,15,9,15,0
376,130,91,14,9,16,0
377,130,90,14,9,17,0
378,130,91,14,9,16,0
379,130,92,14,9,15,0
380,130,93,14,8,15,0
381,130,93,15,7,15,0
382,130,95,14,6,15,0
383,130,94,14,7,15,0
384,130,92,14,8,16,0
385,130,91,15,8,16,0
386,130,91,16,7,16,0
387,130,91,16,7,16,0
388,131,91,16,7,16,1
389,131,93,17,6,15,0
390,131,92,17,6,16,0
391,131,90,17,6,18,0
392,131,90,16,7,18,0
393,131,90,15,8,18,0
394,131,89,14,9,19,0
395,131,88,14,9,20,0
396,131,88,14,9,20,0
397,131,89,14,8,20,0
398,132,90,14,7,20,1
399,132,90,15,7,20,0
400,132,90,15,7,20,0
401,132,91,15,7,19,0
402,133,91,16,6,19,1
403,133,93,16,6,18,0
404,133,95,16,5,17,0
405,133,95,17,5,16,0
406,134,95,18,5,15,1
407,135,97,18,5,14,1
408,136,98,18,6,13,1
409,136,100,18,6,12,0
410,136,101,17,7,11,0
411,136,101,17,7,11,0
412,137,104,16,6,10,1
413,138,104,16,7,10,1
414,138,106,15,7,10,0
415,138,106,14,8,10,0
416,138,106,14,8,10,0
417,138,106,12,10,10,0
418,139,107,12,9,10,1
419,139,108,12,9,10,0
420,139,110,12,8,9,0
421,139,107,14,8,10,0
422,139,106,12,10,11,0
423,139,106,11,11,11,0
424,139,106,11,12,10,0
425,140,104,12,12,11,1
426,140,104,13,12,11,0
427,140,105,13,11,11,0
428,140,105,13,11,11,0
429,140,105,13,11,11,0
430,140,106,12,11,11,0
431,140,104,13,11,12,0
432,140,106,13,11,10,0
433,141,105,12,12,11,1
434,142,107,12,12,10,1
435,143,109,12,11,10,1
436,143,110,12,10,11,0
437,144,110,12,10,11,1
438,144,111,12,10,11,0
439,145,110,12,11,11,1
440,145,111,14,9,11,0
