MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,98,2,0,0,0
1,100,98,2,0,0,0
2,100,97,3,0,0,0
3,100,97,3,0,0,0
4,100,98,2,0,0,0
5,100,97,3,0,0,0
6,100,97,3,0,0,0
7,100,96,4,0,0,0
8,100,96,4,0,0,0
9,100,94,6,0,0,0
10,100,95,5,0,0,0
11,100,95,5,0,0,0
12,100,95,5,0,0,0
13,100,94,6,0,0,0
14,100,92,8,0,0,0
15,100,92,8,0,0,0
16,100,92,8,0,0,0
17,100,93,7,0,0,0
18,100,93,6,1,0,0
19,100,93,6,1,0,0
20,100,93,6,1,0,0
21,100,93,6,1,0,0
22,100,93,6,1,0,0
23,100,93,6,1,0,0
24,100,92,7,1,0,0
25,100,93,6,1,0,0
26,100,92,7,1,0,0
27,100,90,9,1,0,0
28,100,91,9,0,0,0
29,100,91,9,0,0,0
30,100,91,9,0,0,0
31,100,91,9,0,0,0
32,100,91,9,0,0,0
33,100,91,9,0,0,0
34,100,90,10,0,0,0
35,100,89,11,0,0,0
36,100,88,12,0,0,0
37,100,88,12,0,0,0
38,100,87,12,1,0,0
39,100,86,13,1,0,0
40,100,84,15,1,0,0
41,100,84,14,2,0,0
42,100,84,14,2,0,0
43,100,85,14,1,0,0
44,100,87,12,1,0,0
45,100,87,12,1,0,0
46,100,88,11,1,0,0
47,100,89,10,1,0,0
48,100,89,10,1,0,0
49,100,89,10,1,0,0
50,100,88,11,1,0,0
51,100,88,11,1,0,0
52,100,85,14,1,0,0
53,100,85,14,1,0,0
54,100,85,14,1,0,0
55,100,85,14,1,0,0
56,100,86,14,0,0,0
57,100,85,15,0,0,0
58,100,84,16,0,0,0
59,100,83,17,0,0,0
60,100,83,17,0,0,0
61,100,81,19,0,0,0
62,100,80,20,0,0,0
63,100,79,20,0,1,0
64,100,80,19,0,1,0
65,100,79,20,0,1,0
66,100,80,19,0,1,0
67,100,80,19,0,1,0
68,100,80,19,0,1,0
69,100,79,20,0,1,0
70,100,79,20,0,1,0
71,100,80,18,1,1,0
72,100,79,19,1,1,0
73,100,79,19,1,1,0
74,100,79,19,1,1,0
75,100,79,19,1,1,0
76,100,79,19,1,1,0
77,100,80,19,0,1,0
78,100,79,20,0,1,0
79,100,78,20,0,2,0
80,100,77,21,0,2,0
81,100,77,21,0,2,0
82,100,77,21,0,2,0
83,100,76,22,0,2,0
84,100,77,21,0,2,0
85,100,78,20,0,2,0
86,100,78,20,0,2,0
87,100,76,21,0,3,0
88,100,76,22,0,2,0
89,100,76,22,0,2,0
90,100,76,22,0,2,0
91,100,77,21,0,2,0
92,100,77,21,0,2,0
93,100,77,21,0,2,0
94,100,77,21,0,2,0
95,100,77,21,0,2,0
96,100,76,22,0,2,0
97,100,75,22,0,3,0
98,100,76,21,0,3,0
99,100,76,21,0,3,0
100,100,76,21,0,3,0
101,100,76,20,1,3,0
102,100,76,20,1,3,0
103,100,75,21,1,3,0
104,100,76,21,1,2,0
105,100,73,22,1,4,0
106,100,73,22,1,4,0
107,100,73,22,1,4,0
108,100,73,22,1,4,0
109,100,74,20,2,4,0
110,100,75,19,2,4,0
111,100,74,20,2,4,0
112,100,76,20,1,3,0
113,100,76,21,0,3,0
114,100,76,21,0,3,0
115,100,76,20,0,4,0
116,100,76,20,0,4,0
117,100,75,20,0,5,0
118,100,76,20,0,4,0
119,100,74,20,1,5,0
120,100,74,20,1,5,0
121,101,73,21,1,5,1
122,101,74,22,1,4,0
123,101,73,22,1,5,0
124,102,73,22,1,5,1
125,102,73,22,2,5,0
126,102,73,22,2,5,0
127,102,72,21,3,6,0
128,102,72,21,3,6,0
129,102,73,21,3,5,0
130,102,72,21,4,5,0
131,102,73,21,3,5,0
132,102,72,21,3,6,0
133,103,72,21,3,6,1
134,103,74,21,3,5,0
135,103,73,22,3,5,0
136,104,73,20,5,5,1
137,104,73,21,5,5,0
138,104,73,21,5,5,0
139,104,72,21,5,6,0
140,104,73,21,4,6,0
141,105,75,21,3,5,1
142,105,75,22,2,6,0
143,105,76,22,1,6,0
144,105,74,22,1,8,0
145,105,74,22,1,8,0
146,105,74,22,1,8,0
147,105,73,22,1,9,0
148,105,72,23,1,9,0
149,105,72,23,1,9,0
150,105,74,22,0,9,0
151,105,76,21,0,8,0
152,106,77,20,0,8,1
153,106,79,19,0,8,0
154,106,79,19,0,8,0
155,106,78,20,0,8,0
156,106,76,22,0,8,0
157,106,74,22,1,9,0
158,106,75,22,0,9,0
159,106,74,22,1,9,0
160,106,73,22,2,9,0
161,106,73,22,2,9,0
162,106,74,20,3,9,0
163,107,76,20,2,8,1
164,107,75,22,2,8,0
165,108,75,22,2,8,1
166,108,77,23,1,7,0
167,108,77,23,1,7,0
168,108,77,23,1,7,0
169,108,76,22,2,8,0
170,108,76,22,2,8,0
171,108,76,21,3,8,0
172,109,78,19,3,8,1
173,109,79,19,3,8,0
174,109,78,17,5,9,0
175,109,79,17,4,9,0
176,109,80,16,4,9,0
177,109,82,16,3,8,0
178,109,81,17,2,9,0
179,109,82,15,3,9,0
180,109,81,15,3,10,0
181,109,79,17,3,10,0
182,109,80,17,2,10,0
183,109,79,16,3,11,0
184,109,79,15,4,11,0
185,109,79,15,4,11,0
186,109,81,14,3,11,0
187,109,81,14,3,11,0
188,109,82,14,2,11,0
189,109,82,14,2,11,0
190,109,83,14,2,10,0
191,109,84,14,1,10,0
192,109,84,13,1,11,0
193,109,83,13,2,11,0
194,109,82,12,3,12,0
195,109,83,12,3,11,0
196,109,85,11,2,11,0
197,109,85,11,2,11,0
198,109,82,13,2,12,0
199,109,80,14,2,13,0
200,109,81,12,3,13,0
201,109,83,11,3,12,0
202,109,84,11,2,12,0
203,109,83,11,2,13,0
204,109,84,12,2,11,0
205,109,84,12,2,11,0
206,109,84,12,1,12,0
207,110,84,11,2,12,1
208,110,84,11,2,13,0
209,110,83,12,2,13,0
210,110,83,12,2,13,0
211,111,81,13,2,14,1
212,111,84,12,2,13,0
213,111,84,12,2,13,0
214,111,83,13,2,13,0
215,111,84,13,2,12,0
216,111,84,13,2,12,0
217,111,83,13,2,13,0
218,111,84,13,2,12,0
219,111,85,13,1,12,0
220,111,87,12,1,11,0
221,111,87,11,2,11,0
222,111,88,11,1,11,0
223,111,86,13,1,11,0
224,111,86,13,1,11,0
225,111,86,13,1,11,0
226,111,86,13,1,11,0
227,111,86,13,1,11,0
228,111,86,13,1,11,0
229,112,87,13,1,10,1
230,112,89,13,0,10,0
231,112,90,12,1,9,0
232,112,88,14,1,9,0
233,112,85,15,1,11,0
234,112,86,15,0,11,0
235,112,84,15,0,13,0
236,112,84,15,0,13,0
237,114,82,16,0,14,2
238,114,84,17,0,13,0
239,114,83,17,1,13,0
240,114,82,17,1,14,0
241,114,83,17,1,13,0
242,114,82,17,1,14,0
243,114,82,17,1,14,0
244,114,82,17,1,14,0
245,115,83,17,1,13,1
246,115,85,17,1,12,0
247,115,85,17,1,12,0
248,115,82,17,1,15,0
249,115,81,17,1,16,0
250,115,82,17,1,15,0
251,115,83,17,0,15,0
252,116,81,18,0,16,1
253,117,83,17,1,15,1
254,118,84,16,2,15,1
255,118,87,15,3,13,0
256,119,87,15,3,13,1
257,119,89,15,2,13,0
258,119,88,15,2,14,0
259,119,89,15,2,13,0
260,119,90,14,3,12,0
261,119,89,14,5,11,0
262,119,89,14,5,11,0
263,120,90,14,4,11,1
264,120,91,14,4,11,0
265,120,92,14,3,11,0
266,120,94,14,2,10,0
267,120,95,14,2,9,0
268,120,95,15,2,8,0
269,120,96,15,2,7,0
270,120,96,15,1,8,0
271,120,93,17,1,9,0
272,121,95,16,1,8,1
273,121,94,17,1,9,0
274,121,90,19,1,11,0
275,121,89,19,2,11,0
276,121,90,19,2,10,0
277,122,90,20,2,9,1
278,122,92,20,2,8,0
279,122,92,20,2,8,0
280,122,93,19,2,8,0
281,123,93,19,2,8,1
282,123,95,20,1,7,0
283,123,93,20,1,9,0
284,123,93,19,1,10,0
285,124,94,19,1,9,1
286,124,95,19,1,9,0
287,124,93,19,2,10,0
288,124,93,19,2,10,0
289,124,94,19,2,9,0
290,124,96,17,2,9,0
291,125,97,16,2,9,1
292,125,98,16,2,9,0
293,125,96,17,2,10,0
294,125,95,18,2,10,0
295,125,97,16,2,10,0
296,125,96,16,2,11,0
297,125,97,15,2,11,0
298,125,96,15,2,12,0
299,125,98,15,1,11,0
300,126,98,14,2,11,1
301,126,100,14,2,10,0
302,126,97,16,2,11,0
303,126,96,17,2,11,0
304,127,95,16,3,12,1
305,127,97,16,1,13,0
306,128,98,16,1,12,1
307,128,98,16,1,13,0
308,128,97,16,2,13,0
309,128,96,17,2,13,0
310,128,94,18,3,13,0
311,128,94,20,2,12,0
312,128,95,20,2,11,0
313,128,95,20,2,11,0
314,130,95,20,2,11,2
315,130,98,20,1,11,0
316,130,98,20,1,11,0
317,130,98,22,1,9,0
318,130,97,23,1,9,0
319,130,96,24,1,9,0
320,130,96,23,1,10,0
321,130,95,23,1,11,0
322,130,94,24,1,11,0
323,131,93,24,1,12,1
324,131,93,24,1,13,0
325,131,90,26,1,14,0
326,131,90,26,1,14,0
327,131,89,27,1,14,0
328,131,89,27,1,14,0
329,131,89,28,1,13,0
330,131,89,27,1,14,0
331,132,89,28,0,14,1
332,132,93,28,0,11,0
333,133,94,29,0,9,1
334,133,94,29,1,9,0
335,133,94,29,1,9,0
336,133,93,30,1,9,0
337,134,94,30,0,9,1
338,135,93,31,0,10,1
339,135,95,30,0,10,0
340,135,93,32,0,10,0
341,135,92,33,0,10,0
342,136,93,32,0,10,1
343,136,93,32,1,10,0
344,136,90,35,1,10,0
345,136,92,34,0,10,0
346,136,92,34,0,10,0
347,136,91,35,0,10,0
348,136,91,33,1,11,0
349,136,90,33,2,11,0
350,136,90,32,2,12,0
351,136,90,32,2,12,0
352,136,89,32,3,12,0
353,136,89,32,3,12,0
354,136,89,32,3,12,0
355,136,91,31,3,11,0
356,136,91,30,3,12,0
357,136,91,29,3,13,0
358,136,91,29,2,14,0
359,136,89,29,3,15,0
360,136,90,28,3,15,0
361,136,92,27,2,15,0
362,136,92,27,2,15,0
363,136,92,27,2,15,0
364,136,92,27,3,14,0
365,136,95,27,3,11,0
366,136,96,27,2,11,0
367,136,97,27,1,11,0
368,136,95,28,1,12,0
369,136,94,27,1,14,0
370,136,95,26,0,15,0
371,136,94,26,0,16,0
372,136,94,25,0,17,0
373,138,94,24,1,17,2
374,139,96,24,1,17,1
375,139,98,24,1,16,0
376,139,98,24,1,16,0
377,139,97,25,1,16,0
378,139,97,25,1,16,0
379,139,96,24,2,17,0
380,139,96,24,2,17,0
381,139,96,24,2,17,0
382,139,95,24,2,18,0
383,139,94,26,2,17,0
384,139,92,26,3,18,0
385,139,92,27,3,17,0
386,139,92,27,3,17,0
387,139,92,27,3,17,0
388,139,93,26,3,17,0
389,139,93,26,3,17,0
390,139,94,26,2,17,0
391,140,95,24,3,17,1
392,140,95,22,5,18,0
393,140,95,22,6,17,0
394,140,94,21,7,18,0
395,140,93,22,7,18,0
396,140,95,22,6,17,0
397,142,93,24,5,18,2
398,142,94,24,5,19,0
399,142,95,24,4,19,0
400,143,97,23,3,19,1
401,143,98,22,4,19,0
402,143,100,22,2,19,0
403,144,99,21,2,21,1
404,144,99,22,2,21,0
405,144,99,22,2,21,0
406,144,98,22,2,22,0
407,144,98,23,2,21,0
408,144,99,23,0,22,0
409,144,99,24,0,21,0
410,144,99,23,1,21,0
411,144,100,22,1,21,0
412,144,101,22,1,20,0
413,144,101,22,1,20,0
414,144,100,23,1,20,0
415,145,99,23,1,21,1
416,145,97,24,1,23,0
417,145,99,23,0,23,0
418,145,97,22,2,24,0
419,145,97,22,2,24,0
420,145,98,22,2,23,0
421,145,97,22,3,23,0
422,145,98,22,3,22,0
423,145,96,22,4,23,0
424,145,96,22,4,23,0
425,145,95,23,4,23,0
426,145,93,24,4,24,0
427,145,93,24,4,24,0
428,146,93,24,3,25,1
429,146,94,23,3,26,0
430,146,94,20,6,26,0
431,146,95,21,5,25,0
432,147,96,21,3,26,1
433,147,98,21,3,25,0
434,147,99,22,2,24,0
435,147,99,20,4,24,0
436,147,98,20,4,25,0
437,147,97,21,3,26,0
438,147,97,22,3,25,0
439,148,98,22,3,24,1
440,148,95,23,3,27,0
441,148,96,23,2,27,0
442,148,95,23,3,27,0
443,148,96,23,3,26,0
444,148,95,24,3,26,0
445,148,96,24,2,26,0
446,148,95,23,3,27,0
447,148,95,23,3,27,0
448,148,93,25,3,27,0
449,148,92,25,4,27,0
450,148,91,26,4,27,0
451,148,89,29,3,27,0
452,148,91,29,1,27,0
453,148,91,29,1,27,0
454,148,91,29,0,28,0
455,148,91,28,1,28,0
456,148,93,27,1,27,0
457,148,93,27,1,27,0
458,149,94,26,1,27,1
459,149,96,26,1,26,0
460,149,99,26,0,24,0
461,149,99,25,1,24,0
462,149,100,22,2,25,0
463,150,99,23,2,25,1
464,150,100,23,2,25,0
465,150,100,23,2,25,0
466,150,100,24,1,25,0
467,150,99,24,1,26,0
468,151,98,23,2,27,1
469,151,99,23,2,27,0
470,151,98,24,2,27,0
