MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,99,1,0,0,0
1,100,99,1,0,0,0
2,100,98,2,0,0,0
3,100,98,2,0,0,0
4,100,98,2,0,0,0
5,100,98,2,0,0,0
6,100,98,1,1,0,0
7,100,97,2,1,0,0
8,100,97,2,1,0,0
9,100,94,5,1,0,0
10,100,92,7,1,0,0
11,100,92,8,0,0,0
12,100,89,10,1,0,0
13,100,87,12,1,0,0
14,100,85,14,1,0,0
15,100,85,14,1,0,0
16,100,84,16,0,0,0
17,100,83,17,0,0,0
18,100,83,17,0,0,0
19,100,81,19,0,0,0
20,100,80,20,0,0,0
21,100,79,21,0,0,0
22,100,78,22,0,0,0
23,100,78,21,1,0,0
24,100,77,22,1,0,0
25,100,75,24,1,0,0
26,100,74,25,1,0,0
27,100,72,26,2,0,0
28,100,71,27,2,0,0
29,100,70,28,2,0,0
30,100,71,26,3,0,0
31,100,71,25,4,0,0
32,100,70,26,4,0,0
33,100,70,26,4,0,0
34,100,68,28,4,0,0
35,100,67,28,5,0,0
36,100,67,28,5,0,0
37,100,65,29,6,0,0
38,100,65,28,7,0,0
39,100,62,30,8,0,0
40,100,59,33,8,0,0
41,100,60,32,8,0,0
42,100,61,31,8,0,0
43,100,60,32,8,0,0
44,100,61,32,7,0,0
45,100,58,34,8,0,0
46,100,59,34,7,0,0
47,100,61,33,6,0,0
48,100,63,28,9,0,0
49,100,64,27,9,0,0
50,100,64,27,9,0,0
51,100,65,26,9,0,0
52,100,63,28,9,0,0
53,100,63,28,9,0,0
54,100,63,27,10,0,0
55,100,64,26,10,0,0
56,100,63,27,10,0,0
57,100,62,28,10,0,0
58,100,60,29,11,0,0
59,100,61,28,11,0,0
60,100,62,26,12,0,0
61,100,61,27,12,0,0
62,100,62,27,11,0,0
63,100,62,27,11,0,0
64,100,63,26,11,0,0
65,100,64,27,9,0,0
66,100,64,27,9,0,0
67,100,65,27,8,0,0
68,100,65,28,7,0,0
69,100,64,28,7,1,0
70,100,63,28,7,2,0
71,100,63,27,8,2,0
72,100,63,27,8,2,0
73,100,63,28,7,2,0
74,100,60,31,7,2,0
75,100,62,30,6,2,0
76,100,62,30,6,2,0
77,100,60,30,7,3,0
78,100,59,30,8,3,0
79,100,59,30,8,3,0
80,100,58,31,8,3,0
81,100,58,30,9,3,0
82,100,58,29,10,3,0
83,100,56,30,11,3,0
84,100,57,28,12,3,0
85,100,59,27,12,2,0
86,100,60,27,11,2,0
87,100,61,26,11,2,0
88,100,61,26,11,2,0
89,100,60,27,10,3,0
90,100,60,27,10,3,0
91,100,63,25,9,3,0
92,100,63,25,9,3,0
93,100,64,24,9,3,0
94,100,66,23,8,3,0
95,100,65,24,8,3,0
96,100,63,26,8,3,0
97,100,62,25,10,3,0
98,100,61,25,10,4,0
99,100,61,25,10,4,0
100,100,62,25,9,4,0
101,100,62,24,10,4,0
102,100,63,23,10,4,0
103,100,64,22,10,4,0
104,100,64,21,11,4,0
105,100,64,20,12,4,0
106,100,64,19,13,4,0
107,100,65,20,12,3,0
108,100,66,20,12,2,0
109,100,67,19,12,2,0
110,100,67,19,12,2,0
111,100,68,18,12,2,0
112,100,70,17,11,2,0
113,100,69,18,11,2,0
114,100,70,18,10,2,0
115,100,71,17,10,2,0
116,100,73,17,8,2,0
117,101,72,17,8,3,1
118,101,73,17,8,3,0
119,101,73,16,8,4,0
120,101,73,16,8,4,0
121,101,73,15,9,4,0
122,101,70,15,10,6,0
123,101,70,15,10,6,0
124,101,70,15,10,6,0
125,101,68,16,10,7,0
126,101,69,16,9,7,0
127,101,67,16,9,9,0
128,101,67,17,8,9,0
129,101,68,17,6,10,0
