MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,98,2,0,0,0
1,100,98,2,0,0,0
2,100,97,3,0,0,0
3,100,97,3,0,0,0
4,100,97,3,0,0,0
5,100,97,3,0,0,0
6,100,97,3,0,0,0
7,100,96,4,0,0,0
8,100,96,4,0,0,0
9,100,93,7,0,0,0
10,100,91,9,0,0,0
11,100,89,11,0,0,0
12,100,87,13,0,0,0
13,100,85,15,0,0,0
14,100,83,17,0,0,0
15,100,83,17,0,0,0
16,100,81,18,1,0,0
17,100,81,18,1,0,0
18,100,81,17,2,0,0
19,100,79,19,2,0,0
20,100,79,19,2,0,0
21,100,78,20,2,0,0
22,100,78,20,2,0,0
23,100,78,20,2,0,0
24,100,78,21,1,0,0
25,100,77,22,1,0,0
26,100,76,23,1,0,0
27,100,74,24,2,0,0
28,100,74,25,1,0,0
29,100,73,26,1,0,0
30,100,74,25,1,0,0
31,100,74,25,1,0,0
32,100,73,26,1,0,0
33,100,73,26,1,0,0
34,100,71,28,1,0,0
35,100,70,29,1,0,0
36,100,71,29,0,0,0
37,100,70,30,0,0,0
38,100,69,30,1,0,0
39,100,67,32,1,0,0
40,100,65,34,1,0,0
41,100,66,32,2,0,0
42,100,65,32,2,1,0
43,100,65,33,1,1,0
44,100,66,32,1,1,0
45,100,63,35,1,1,0
46,100,63,35,1,1,0
47,100,66,33,1,0,0
48,100,68,31,1,0,0
49,100,68,31,1,0,0
50,100,67,32,1,0,0
51,100,70,29,1,0,0
52,100,68,31,1,0,0
53,100,67,32,1,0,0
54,100,67,31,2,0,0
55,100,69,29,2,0,0
56,100,70,30,0,0,0
57,100,69,31,0,0,0
58,100,67,33,0,0,0
59,100,67,33,0,0,0
60,100,68,32,0,0,0
61,100,68,32,0,0,0
62,100,68,32,0,0,0
63,100,66,32,0,2,0
64,100,67,31,0,2,0
65,100,65,32,0,3,0
66,100,66,31,0,3,0
67,100,66,31,0,3,0
68,100,65,32,0,3,0
69,100,65,32,0,3,0
70,100,65,32,0,3,0
71,100,65,31,1,3,0
72,100,65,31,1,3,0
73,100,64,32,1,3,0
74,100,61,35,1,3,0
75,100,61,35,1,3,0
76,100,62,34,1,3,0
77,100,63,34,0,3,0
78,100,62,35,0,3,0
79,100,62,35,0,3,0
80,100,60,37,0,3,0
81,100,61,36,0,3,0
82,100,60,36,1,3,0
83,100,59,37,1,3,0
84,100,61,35,1,3,0
85,100,63,33,1,3,0
86,100,64,32,1,3,0
87,100,65,31,0,4,0
88,100,66,31,0,3,0
89,100,65,32,0,3,0
90,100,65,32,0,3,0
91,100,67,30,0,3,0
92,100,66,30,1,3,0
93,100,67,29,1,3,0
94,100,68,28,1,3,0
95,100,66,29,1,4,0
96,100,65,30,1,4,0
97,101,65,30,1,4,1
98,101,66,30,1,4,0
99,101,66,30,1,4,0
100,101,67,30,0,4,0
101,101,67,29,1,4,0
102,101,67,28,1,5,0
103,101,66,29,1,5,0
104,101,66,29,1,5,0
105,101,65,28,1,7,0
106,101,65,28,1,7,0
107,101,64,29,1,7,0
108,101,64,29,1,7,0
109,101,63,28,2,8,0
110,101,64,27,2,8,0
111,101,64,27,2,8,0
112,101,67,26,1,7,0
113,101,68,26,0,7,0
114,101,68,26,0,7,0
115,101,66,26,0,9,0
116,101,66,26,0,9,0
117,101,65,25,1,10,0
118,101,66,25,1,9,0
119,101,65,23,4,9,0
120,101,65,23,4,9,0
121,102,64,23,4,10,1
122,102,65,24,4,9,0
123,102,64,23,5,10,0
124,102,64,23,5,10,0
125,102,64,24,4,10,0
126,102,64,24,4,10,0
127,102,62,23,5,12,0
128,102,62,24,5,11,0
129,102,64,24,5,9,0
130,102,63,24,6,9,0
131,102,65,24,4,9,0
132,103,65,24,3,10,1
133,104,67,24,2,10,1
134,104,69,24,2,9,0
135,104,68,25,2,9,0
136,105,68,23,4,9,1
137,105,69,23,4,9,0
138,105,69,23,4,9,0
139,105,68,24,4,9,0
140,105,69,24,3,9,0
141,106,70,23,4,8,1
142,106,71,22,4,9,0
143,106,72,22,3,9,0
144,106,70,23,3,10,0
145,106,71,22,3,10,0
146,106,71,22,3,10,0
147,106,68,24,3,11,0
148,106,66,25,3,12,0
149,106,67,25,2,12,0
150,106,67,25,1,13,0
151,106,67,24,1,14,0
152,107,68,23,1,14,1
153,107,69,23,1,14,0
154,107,70,23,1,13,0
155,107,68,23,2,14,0
156,107,69,22,2,14,0
157,107,68,22,2,15,0
158,107,69,21,3,14,0
159,107,68,20,5,14,0
160,107,67,19,6,15,0
161,107,69,19,5,14,0
162,108,69,19,5,14,1
163,108,72,19,4,13,0
164,109,71,20,4,13,1
165,109,74,20,3,12,0
166,109,76,20,2,11,0
167,109,76,19,3,11,0
168,109,77,19,2,11,0
169,109,76,19,2,12,0
170,109,76,21,1,11,0
171,109,77,21,0,11,0
172,109,78,20,0,11,0
173,109,77,21,0,11,0
174,110,75,20,2,12,1
175,110,78,19,1,12,0
176,110,78,19,1,12,0
177,110,77,19,3,11,0
178,110,75,20,3,12,0
179,110,75,18,5,12,0
180,110,75,18,5,12,0
181,110,75,18,5,12,0
182,110,75,18,5,12,0
183,110,75,18,5,12,0
184,110,75,17,6,12,0
185,110,74,19,5,12,0
186,110,74,20,4,12,0
187,110,75,19,4,12,0
188,110,77,18,3,12,0
189,110,77,17,4,12,0
190,110,79,15,5,11,0
191,110,78,16,5,11,0
192,110,77,15,6,12,0
193,110,78,15,6,11,0
194,110,77,15,6,12,0
195,110,79,15,5,11,0
196,110,78,16,4,12,0
197,110,78,16,4,12,0
198,111,75,17,4,14,1
199,111,76,17,4,14,0
200,111,76,17,4,14,0
201,111,77,16,4,14,0
202,111,80,16,2,13,0
203,111,80,16,2,13,0
204,111,80,17,2,12,0
205,111,80,17,2,12,0
206,111,81,17,1,12,0
207,112,81,16,2,12,1
208,112,82,16,2,12,0
209,112,82,16,2,12,0
210,112,82,16,2,12,0
211,113,82,16,2,12,1
212,113,83,17,1,12,0
213,113,84,17,1,11,0
214,113,84,17,1,11,0
215,113,83,19,1,10,0
216,114,84,18,1,10,1
217,114,86,17,1,10,0
218,114,86,17,1,10,0
219,114,86,17,0,11,0
220,114,86,17,0,11,0
221,114,87,16,1,10,0
222,114,88,16,0,10,0
223,114,88,16,0,10,0
224,114,87,17,0,10,0
225,114,86,17,0,11,0
226,114,84,18,0,12,0
227,114,84,18,0,12,0
228,114,84,18,0,12,0
229,114,85,17,0,12,0
230,114,85,17,0,12,0
231,114,85,17,0,12,0
232,114,86,17,0,11,0
233,114,82,19,0,13,0
234,114,82,19,0,13,0
235,114,82,19,1,12,0
236,114,82,19,1,12,0
237,115,81,19,1,13,1
238,115,82,20,1,12,0
239,115,82,20,1,12,0
240,115,80,19,2,14,0
241,115,79,20,2,14,0
242,115,79,20,2,14,0
243,115,79,20,2,14,0
244,115,80,19,2,14,0
245,116,81,19,2,13,1
246,116,82,19,2,13,0
247,116,82,18,2,14,0
248,116,82,17,3,14,0
249,116,82,17,3,14,0
250,116,84,17,2,13,0
251,116,83,17,2,14,0
252,116,83,19,1,13,0
253,117,85,18,2,11,1
254,118,84,18,3,12,1
255,118,86,17,4,11,0
256,119,86,16,4,12,1
257,120,88,16,3,12,1
258,120,89,17,2,12,0
259,120,89,16,3,12,0
260,121,90,16,3,11,1
261,121,91,16,3,11,0
262,121,91,16,3,11,0
263,121,90,16,4,11,0
264,121,91,16,3,11,0
265,121,93,16,2,10,0
266,121,93,17,1,10,0
267,121,92,19,1,9,0
268,121,91,20,1,9,0
269,121,91,20,1,9,0
270,121,91,18,2,10,0
271,122,90,19,1,11,1
272,122,92,19,1,10,0
273,122,90,20,1,11,0
274,122,88,21,1,12,0
275,122,88,21,1,12,0
276,122,89,21,1,11,0
277,124,91,21,0,10,2
278,124,93,20,1,10,0
279,124,91,20,1,12,0
280,124,91,21,0,12,0
281,124,91,22,0,11,0
282,124,90,23,0,11,0
283,124,88,23,1,12,0
284,124,87,23,1,13,0
285,124,88,22,1,13,0
286,124,87,22,1,14,0
287,125,85,22,1,16,1
288,125,87,22,0,16,0
289,125,87,22,0,16,0
290,125,87,20,1,17,0
291,125,87,20,1,17,0
292,125,88,20,0,17,0
293,125,85,19,1,20,0
294,125,86,19,1,19,0
295,125,87,18,1,19,0
296,125,85,19,1,20,0
297,125,86,18,2,19,0
298,125,85,19,2,19,0
299,125,85,19,2,19,0
300,125,85,20,1,19,0
301,126,85,20,1,19,1
302,126,84,22,1,19,0
303,126,84,23,1,18,0
304,126,84,22,1,19,0
305,126,84,22,0,20,0
306,127,83,22,1,20,1
307,128,83,22,1,21,1
308,129,83,22,2,21,1
309,129,84,22,2,21,0
310,129,85,21,3,20,0
311,129,86,21,3,19,0
312,129,87,20,4,18,0
313,129,88,20,4,17,0
314,130,86,22,4,17,1
315,130,89,22,2,17,0
316,130,88,23,2,17,0
317,130,88,24,1,17,0
318,131,86,25,1,18,1
319,131,87,25,1,18,0
320,131,88,24,1,18,0
321,131,88,24,1,18,0
322,131,88,24,1,18,0
323,132,86,25,1,19,1
324,132,85,25,1,21,0
325,132,87,26,1,18,0
326,132,85,27,1,19,0
327,132,84,28,1,19,0
328,132,85,28,1,18,0
329,132,84,30,1,17,0
330,132,85,29,1,17,0
331,132,86,29,0,17,0
332,132,86,30,0,16,0
333,133,86,31,0,15,1
334,133,87,31,0,15,0
335,133,87,31,0,15,0
336,133,85,32,1,15,0
337,134,85,32,1,15,1
338,135,87,30,1,16,1
339,135,89,28,3,15,0
340,135,88,29,3,15,0
341,135,87,30,2,16,0
342,135,87,28,3,17,0
343,135,87,28,3,17,0
344,135,85,31,2,17,0
345,135,83,31,3,18,0
346,135,84,31,3,17,0
347,135,85,31,3,16,0
348,135,85,31,3,16,0
349,135,84,31,4,16,0
350,135,82,32,4,17,0
351,135,82,32,4,17,0
352,135,82,32,4,17,0
353,135,81,33,3,18,0
354,135,82,33,2,18,0
355,135,84,32,2,17,0
356,135,85,31,2,17,0
357,136,84,32,2,17,1
358,136,85,33,1,17,0
359,136,86,33,1,16,0
360,136,86,33,1,16,0
361,136,86,33,1,16,0
362,136,85,34,1,16,0
363,136,85,34,1,16,0
364,136,85,33,2,16,0
365,136,86,33,3,14,0
366,136,85,34,2,15,0
367,136,86,33,3,14,0
368,136,86,33,3,14,0
369,136,86,32,3,15,0
370,136,85,32,2,17,0
371,136,84,32,2,18,0
372,136,84,32,2,18,0
373,137,84,31,2,19,1
374,139,84,31,2,20,2
375,139,86,31,2,20,0
376,139,86,32,1,20,0
377,139,86,32,1,20,0
378,139,86,32,1,20,0
379,139,84,34,1,20,0
380,139,84,34,1,20,0
381,139,82,34,2,21,0
382,139,82,34,2,21,0
383,139,83,33,3,20,0
384,139,83,33,4,19,0
385,139,84,31,5,19,0
386,139,84,32,4,19,0
387,139,82,33,4,20,0
388,139,84,31,3,21,0
389,139,84,31,3,21,0
390,139,83,32,3,21,0
391,139,83,31,4,21,0
392,139,83,28,6,22,0
393,139,83,28,7,21,0
394,140,83,26,8,22,1
395,140,86,25,7,22,0
396,140,86,25,7,22,0
397,140,88,26,5,21,0
398,140,88,26,5,21,0
399,140,90,24,5,21,0
400,140,92,24,4,20,0
401,140,93,23,4,20,0
402,140,94,23,3,20,0
403,141,93,23,3,21,1
404,141,92,24,3,22,0
405,141,92,24,3,22,0
406,141,91,24,3,23,0
407,141,90,25,3,23,0
408,142,91,25,1,24,1
409,142,92,26,0,24,0
410,142,92,24,2,24,0
411,142,93,22,3,24,0
412,142,92,22,3,25,0
413,142,93,21,3,25,0
414,142,94,21,3,24,0
415,142,95,21,3,23,0
416,142,93,23,3,23,0
417,142,95,23,1,23,0
418,142,94,24,1,23,0
419,142,94,24,1,23,0
420,142,94,24,1,23,0
421,142,95,24,1,22,0
422,142,96,23,1,22,0
423,142,95,24,1,22,0
424,142,94,24,1,23,0
425,142,95,22,2,23,0
426,144,94,23,2,23,2
427,144,96,21,4,23,0
428,144,96,20,3,25,0
429,144,95,21,3,25,0
430,144,95,21,3,25,0
431,144,96,21,4,23,0
432,145,96,21,4,23,1
433,145,98,21,3,23,0
434,145,98,21,3,23,0
435,145,98,21,2,24,0
436,145,99,21,1,24,0
437,145,97,22,1,25,0
438,145,98,22,1,24,0
439,146,98,21,1,25,1
440,146,98,20,1,27,0
441,146,97,21,1,27,0
442,146,96,21,2,27,0
443,146,95,22,2,27,0
444,146,95,23,2,26,0
445,146,95,23,2,26,0
446,146,96,20,4,26,0
447,146,95,23,3,25,0
448,146,94,24,3,25,0
449,146,94,24,3,25,0
450,146,95,25,3,23,0
451,146,94,25,3,24,0
452,146,94,25,3,24,0
453,146,93,26,3,24,0
454,146,94,26,2,24,0
455,146,93,25,3,25,0
456,146,95,24,2,25,0
457,146,95,24,2,25,0
458,146,96,23,2,25,0
459,146,98,22,1,25,0
460,146,99,22,0,25,0
461,146,99,21,1,25,0
462,147,99,21,1,25,1
463,148,100,21,1,25,1
464,148,101,21,1,25,0
465,148,101,21,1,25,0
466,148,101,21,1,25,0
467,148,100,21,1,26,0
468,148,101,21,1,25,0
469,148,104,19,1,24,0
470,149,105,18,2,23,1
