MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,100,0,0,0,0
1,100,100,0,0,0,0
2,100,99,1,0,0,0
3,100,98,2,0,0,0
4,100,98,2,0,0,0
5,100,98,2,0,0,0
6,100,98,2,0,0,0
7,100,95,5,0,0,0
8,100,94,6,0,0,0
9,100,93,7,0,0,0
10,100,91,9,0,0,0
11,100,90,10,0,0,0
12,100,89,11,0,0,0
13,100,87,13,0,0,0
14,100,85,15,0,0,0
15,100,84,16,0,0,0
16,100,82,18,0,0,0
17,100,81,19,0,0,0
18,100,78,21,1,0,0
19,100,77,22,1,0,0
20,100,79,19,2,0,0
21,100,79,19,2,0,0
22,100,78,20,2,0,0
23,100,78,20,2,0,0
24,100,78,20,2,0,0
25,100,78,20,2,0,0
26,100,77,21,2,0,0
27,100,76,22,2,0,0
28,100,74,24,2,0,0
29,100,72,26,2,0,0
30,100,72,26,2,0,0
31,100,74,24,2,0,0
32,100,74,24,2,0,0
33,100,73,25,2,0,0
34,100,72,26,2,0,0
35,100,69,29,2,0,0
36,100,66,32,2,0,0
37,100,68,31,1,0,0
38,100,70,28,2,0,0
39,100,71,28,1,0,0
40,100,71,28,1,0,0
41,100,70,29,1,0,0
42,100,70,29,1,0,0
43,100,70,29,1,0,0
44,100,68,31,1,0,0
45,100,67,32,1,0,0
46,100,67,32,1,0,0
47,100,67,31,2,0,0
48,100,67,31,2,0,0
49,100,68,30,2,0,0
50,100,68,30,2,0,0
51,100,67,31,2,0,0
52,100,67,31,2,0,0
53,100,68,28,4,0,0
54,100,68,27,5,0,0
55,100,66,27,6,1,0
56,100,69,24,6,1,0
57,100,68,24,7,1,0
58,100,68,23,8,1,0
59,100,70,22,8,0,0
60,100,70,22,8,0,0
61,100,69,23,8,0,0
62,100,69,23,8,0,0
63,100,68,24,7,1,0
64,100,69,24,6,1,0
65,100,68,25,6,1,0
66,100,69,24,6,1,0
67,100,67,26,6,1,0
68,100,65,28,6,1,0
69,100,66,28,5,1,0
70,100,67,28,4,1,0
71,100,67,28,4,1,0
72,100,67,28,4,1,0
73,100,67,28,4,1,0
74,100,67,28,4,1,0
75,100,69,26,4,1,0
76,100,69,25,5,1,0
77,100,68,25,6,1,0
78,100,68,25,6,1,0
79,100,68,25,6,1,0
80,100,68,24,7,1,0
81,100,68,22,9,1,0
82,100,68,22,9,1,0
83,101,69,22,8,1,1
84,101,69,22,8,2,0
85,101,69,21,9,2,0
86,101,69,21,9,2,0
87,101,70,21,8,2,0
88,101,69,22,8,2,0
89,101,70,22,7,2,0
90,101,71,22,6,2,0
91,101,71,22,6,2,0
92,101,70,21,7,3,0
93,101,70,22,6,3,0
94,101,70,22,6,3,0
95,101,71,21,6,3,0
96,101,73,20,5,3,0
97,101,73,19,6,3,0
98,101,74,18,6,3,0
99,101,74,18,6,3,0
100,101,76,18,4,3,0
101,101,77,18,3,3,0
102,101,77,18,3,3,0
103,101,77,17,4,3,0
104,101,77,17,4,3,0
105,101,77,17,4,3,0
106,101,75,17,4,5,0
107,101,73,18,5,5,0
108,101,72,18,6,5,0
109,101,72,18,6,5,0
110,101,73,18,5,5,0
111,101,72,18,5,6,0
112,101,72,18,5,6,0
113,101,72,18,5,6,0
114,101,72,18,4,7,0
115,101,73,17,4,7,0
116,101,73,17,3,8,0
117,101,72,18,3,8,0
118,101,72,18,3,8,0
119,101,71,19,3,8,0
120,101,70,17,6,8,0
121,101,71,18,5,7,0
122,101,73,18,3,7,0
123,101,72,18,4,7,0
