MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,100,0,0,0,0
1,100,100,0,0,0,0
2,100,99,1,0,0,0
3,100,99,1,0,0,0
4,100,99,1,0,0,0
5,100,98,2,0,0,0
6,100,97,3,0,0,0
7,100,97,3,0,0,0
8,100,95,5,0,0,0
9,100,95,5,0,0,0
10,100,92,8,0,0,0
11,100,92,8,0,0,0
12,100,92,8,0,0,0
13,100,92,8,0,0,0
14,100,91,9,0,0,0
15,100,88,11,1,0,0
16,100,86,13,1,0,0
17,100,85,14,1,0,0
18,100,85,14,1,0,0
19,100,83,16,1,0,0
20,100,82,17,1,0,0
21,100,80,19,1,0,0
22,100,78,21,1,0,0
23,100,78,21,1,0,0
24,100,76,23,1,0,0
25,100,74,25,1,0,0
26,100,74,25,1,0,0
27,100,76,23,1,0,0
28,100,75,23,2,0,0
29,100,74,24,2,0,0
30,100,74,24,2,0,0
31,100,74,24,2,0,0
32,100,73,25,2,0,0
33,100,72,26,2,0,0
34,100,71,25,4,0,0
35,100,70,26,4,0,0
36,100,71,24,5,0,0
37,100,72,23,5,0,0
38,100,70,25,5,0,0
39,100,70,26,4,0,0
40,100,69,26,5,0,0
41,100,69,26,5,0,0
42,100,66,29,5,0,0
43,100,68,28,4,0,0
44,100,67,28,5,0,0
45,100,67,28,5,0,0
46,100,67,28,5,0,0
47,100,67,29,4,0,0
48,100,65,31,4,0,0
49,100,65,31,4,0,0
50,100,65,31,4,0,0
51,100,64,32,4,0,0
52,100,63,33,4,0,0
53,100,61,35,4,0,0
54,100,61,35,4,0,0
55,100,62,32,6,0,0
56,100,62,32,6,0,0
57,100,62,33,5,0,0
58,100,64,31,5,0,0
59,100,64,31,5,0,0
60,100,66,31,3,0,0
61,100,66,30,4,0,0
62,100,67,30,3,0,0
63,100,66,30,4,0,0
64,100,67,29,4,0,0
65,100,65,31,4,0,0
66,100,64,32,4,0,0
67,100,62,33,5,0,0
68,100,64,30,6,0,0
69,100,64,30,6,0,0
70,100,64,30,6,0,0
71,100,66,29,5,0,0
72,100,66,28,6,0,0
73,100,67,28,5,0,0
74,100,67,28,5,0,0
75,100,67,28,5,0,0
76,100,68,28,4,0,0
77,100,68,28,4,0,0
78,100,68,28,4,0,0
79,100,67,29,4,0,0
80,100,67,29,4,0,0
81,100,67,28,5,0,0
82,100,67,28,5,0,0
83,100,69,25,5,1,0
84,100,69,25,5,1,0
85,100,69,25,5,1,0
86,100,69,24,6,1,0
87,100,69,23,7,1,0
88,100,69,23,7,1,0
89,100,69,23,7,1,0
90,100,68,24,7,1,0
91,100,68,23,7,2,0
92,100,68,23,7,2,0
93,100,67,23,7,3,0
94,100,67,23,7,3,0
95,100,67,23,7,3,0
96,100,67,23,7,3,0
97,100,69,22,7,2,0
98,100,70,21,7,2,0
99,100,70,21,7,2,0
100,100,71,20,7,2,0
101,100,71,19,8,2,0
102,100,71,19,8,2,0
103,101,73,17,8,2,1
104,101,74,18,7,2,0
105,101,74,18,7,2,0
106,101,76,17,6,2,0
107,101,77,17,5,2,0
108,101,78,17,4,2,0
109,101,77,17,5,2,0
110,101,77,16,6,2,0
111,101,78,16,6,1,0
112,101,78,16,6,1,0
113,101,78,16,6,1,0
114,101,78,14,8,1,0
115,101,78,15,7,1,0
116,102,78,15,7,1,1
117,102,79,15,7,1,0
118,102,81,14,6,1,0
119,102,81,12,8,1,0
120,102,81,12,8,1,0
121,102,81,12,8,1,0
122,102,81,12,8,1,0
123,102,82,12,7,1,0
