MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,100,0,0,0,0
1,100,100,0,0,0,0
2,100,99,1,0,0,0
3,100,97,3,0,0,0
4,100,97,3,0,0,0
5,100,95,5,0,0,0
6,100,95,5,0,0,0
7,100,94,6,0,0,0
8,100,92,8,0,0,0
9,100,91,9,0,0,0
10,100,89,11,0,0,0
11,100,86,14,0,0,0
12,100,85,15,0,0,0
13,100,84,16,0,0,0
14,100,82,18,0,0,0
15,100,81,19,0,0,0
16,100,80,20,0,0,0
17,100,79,21,0,0,0
18,100,77,23,0,0,0
19,100,76,24,0,0,0
20,100,76,24,0,0,0
21,100,76,24,0,0,0
22,100,72,28,0,0,0
23,100,70,29,1,0,0
24,100,68,31,1,0,0
25,100,68,31,1,0,0
26,100,67,32,1,0,0
27,100,67,32,1,0,0
28,100,65,34,1,0,0
29,100,63,36,1,0,0
30,100,62,37,1,0,0
31,100,62,37,1,0,0
32,100,61,38,1,0,0
33,100,58,41,1,0,0
34,100,58,41,1,0,0
35,100,57,42,1,0,0
36,100,56,43,1,0,0
37,100,56,43,1,0,0
38,100,58,41,1,0,0
39,100,56,44,0,0,0
40,100,54,45,1,0,0
41,100,52,47,1,0,0
42,100,51,48,1,0,0
43,100,51,48,1,0,0
44,100,50,49,1,0,0
45,100,49,50,1,0,0
46,100,48,51,1,0,0
47,100,47,52,1,0,0
48,100,47,52,1,0,0
49,100,47,52,1,0,0
50,100,47,53,0,0,0
51,100,44,55,1,0,0
52,100,44,55,1,0,0
53,100,44,55,1,0,0
54,100,43,56,1,0,0
55,100,43,56,1,0,0
56,100,45,54,1,0,0
57,100,44,55,1,0,0
58,100,42,57,1,0,0
59,100,40,57,2,1,0
60,100,40,57,2,1,0
61,100,39,57,3,1,0
62,100,39,57,3,1,0
63,100,40,57,2,1,0
64,100,39,58,2,1,0
65,100,39,58,2,1,0
66,100,39,58,2,1,0
67,100,37,60,2,1,0
68,100,37,60,2,1,0
69,100,37,60,2,1,0
70,100,36,62,1,1,0
71,100,36,62,1,1,0
72,100,36,62,1,1,0
73,100,36,61,2,1,0
74,100,37,61,2,0,0
75,100,38,61,1,0,0
76,101,39,60,1,0,1
77,101,38,62,1,0,0
78,101,40,60,1,0,0
79,101,40,60,1,0,0
80,102,40,60,1,0,1
81,102,41,59,2,0,0
82,102,40,60,2,0,0
83,103,40,60,2,0,1
84,103,41,60,2,0,0
85,103,41,60,2,0,0
86,103,41,60,2,0,0
87,103,41,60,2,0,0
88,103,41,60,2,0,0
89,103,41,60,2,0,0
90,103,42,60,1,0,0
91,103,42,60,1,0,0
92,103,42,60,1,0,0
93,103,41,61,1,0,0
94,103,41,61,1,0,0
95,103,42,60,1,0,0
96,103,42,60,1,0,0
97,103,42,60,1,0,0
98,103,41,61,1,0,0
99,103,40,61,1,1,0
100,103,39,62,1,1,0
101,103,38,63,1,1,0
102,103,39,62,1,1,0
103,103,39,61,2,1,0
104,103,39,61,2,1,0
105,103,38,61,2,2,0
106,103,38,61,2,2,0
107,103,37,61,3,2,0
108,103,37,61,3,2,0
109,103,37,61,3,2,0
110,103,39,61,1,2,0
111,103,38,62,1,2,0
112,103,37,62,2,2,0
113,103,36,62,2,3,0
114,103,35,63,2,3,0
115,103,35,62,3,3,0
116,103,35,63,2,3,0
117,103,37,61,3,2,0
118,103,37,61,3,2,0
119,103,37,61,3,2,0
120,103,36,61,3,3,0
121,103,37,60,3,3,0
122,103,36,60,3,4,0
123,103,36,61,2,4,0
