MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,99,1,0,0,0
1,100,97,3,0,0,0
2,100,93,6,1,0,0
3,100,90,8,2,0,0
4,100,89,9,2,0,0
5,100,84,14,2,0,0
6,100,83,15,2,0,0
7,100,79,18,3,0,0
8,100,79,17,4,0,0
9,100,80,17,3,0,0
10,100,78,16,6,0,0
11,100,76,18,6,0,0
12,100,73,21,6,0,0
13,100,71,23,6,0,0
14,100,73,24,3,0,0
15,100,73,23,4,0,0
16,100,73,22,5,0,0
17,100,73,22,5,0,0
18,100,73,22,5,0,0
19,100,70,25,5,0,0
20,100,70,25,5,0,0
21,100,70,25,5,0,0
22,100,69,27,4,0,0
23,100,68,28,4,0,0
24,100,66,30,4,0,0
25,100,64,32,4,0,0
26,100,62,33,5,0,0
27,100,62,33,5,0,0
28,100,59,35,6,0,0
29,100,60,34,6,0,0
30,100,60,34,6,0,0
31,100,60,34,6,0,0
32,100,59,35,6,0,0
33,100,58,36,6,0,0
34,100,58,36,6,0,0
35,100,56,37,7,0,0
36,100,55,37,8,0,0
37,100,56,37,7,0,0
38,100,57,37,6,0,0
39,100,54,39,7,0,0
40,100,53,40,7,0,0
41,100,52,41,7,0,0
42,100,52,40,8,0,0
43,100,54,38,8,0,0
44,100,54,38,8,0,0
45,100,54,38,8,0,0
46,100,54,37,9,0,0
47,100,52,38,9,1,0
48,100,50,40,9,1,0
49,100,50,39,10,1,0
50,100,50,38,11,1,0
51,100,51,38,9,2,0
52,100,51,39,8,2,0
53,100,50,39,10,1,0
54,100,50,38,11,1,0
55,100,52,37,10,1,0
56,100,51,36,12,1,0
57,100,51,34,14,1,0
58,100,50,34,15,1,0
59,100,50,32,17,1,0
60,100,50,31,18,1,0
61,100,49,33,17,1,0
62,100,49,33,17,1,0
63,100,49,32,18,1,0
64,100,48,31,20,1,0
65,100,48,32,19,1,0
66,100,47,33,19,1,0
67,100,46,34,19,1,0
68,100,45,34,20,1,0
69,100,46,34,18,2,0
70,100,46,35,17,2,0
71,100,45,35,18,2,0
72,100,44,34,18,4,0
73,100,44,34,18,4,0
74,100,44,34,18,4,0
75,100,44,34,18,4,0
76,100,44,35,17,4,0
77,100,42,33,20,5,0
78,100,42,34,19,5,0
79,100,41,34,19,6,0
80,100,41,35,18,6,0
81,100,43,34,18,5,0
82,100,45,31,19,5,0
83,100,45,31,19,5,0
84,100,46,31,18,5,0
85,100,46,29,20,5,0
86,100,46,29,20,5,0
87,100,47,28,21,4,0
88,101,47,28,21,4,1
89,101,51,28,18,4,0
90,101,52,27,18,4,0
91,101,51,28,18,4,0
92,101,51,28,18,4,0
93,101,51,28,16,6,0
94,101,51,28,16,6,0
95,101,53,28,14,6,0
96,101,53,28,13,7,0
97,101,54,28,12,7,0
98,101,54,28,12,7,0
99,101,54,27,13,7,0
100,101,56,27,11,7,0
101,101,56,26,12,7,0
102,101,56,27,11,7,0
103,101,57,27,10,7,0
104,101,57,28,9,7,0
105,101,55,28,10,8,0
106,101,55,28,11,7,0
107,101,55,29,10,7,0
108,101,54,29,10,8,0
109,101,54,28,11,8,0
110,101,52,28,11,10,0
111,102,52,28,11,10,1
112,102,52,28,11,11,0
113,102,52,29,10,11,0
114,102,51,29,10,12,0
115,102,51,29,10,12,0
116,102,49,29,11,13,0
117,102,47,30,11,14,0
118,102,48,31,9,14,0
119,102,49,30,9,14,0
120,102,50,30,8,14,0
121,102,50,30,8,14,0
122,102,49,29,9,15,0
123,102,49,29,9,15,0
124,102,48,30,8,16,0
125,102,48,30,8,16,0
126,102,48,30,9,15,0
127,102,48,30,9,15,0
128,102,48,31,8,15,0
129,102,48,28,11,15,0
130,102,47,27,12,16,0
131,102,46,26,13,17,0
132,102,46,26,13,17,0
133,102,44,26,13,19,0
134,102,46,26,11,19,0
135,102,45,26,11,20,0
136,102,48,26,10,18,0
137,102,48,26,10,18,0
138,102,49,26,9,18,0
139,102,48,27,9,18,0
140,102,48,27,9,18,0
141,102,47,28,9,18,0
142,103,47,29,9,17,1
143,104,49,29,8,17,1
144,104,49,29,9,17,0
145,104,50,29,8,17,0
146,104,49,29,8,18,0
147,104,48,28,9,19,0
148,104,48,26,11,19,0
149,104,48,24,13,19,0
150,104,48,23,13,20,0
151,104,50,21,14,19,0
152,104,51,21,14,18,0
153,104,51,22,12,19,0
154,104,51,22,12,19,0
155,104,50,23,12,19,0
156,104,50,23,11,20,0
157,105,50,23,11,20,1
158,105,50,24,10,21,0
159,106,49,24,11,21,1
160,106,51,24,11,20,0
161,107,52,23,11,20,1
162,107,53,24,10,20,0
163,107,52,25,10,20,0
164,108,53,23,11,20,1
165,108,52,24,11,21,0
166,108,52,24,11,21,0
167,108,52,23,12,21,0
168,108,54,23,10,21,0
169,108,53,23,11,21,0
170,108,53,23,10,22,0
171,108,52,25,10,21,0
172,108,52,26,10,20,0
173,108,53,26,9,20,0
174,108,54,24,9,21,0
175,108,53,24,9,22,0
176,108,54,22,10,22,0
177,109,55,22,10,21,1
178,110,55,22,10,22,1
179,110,57,23,9,21,0
180,110,58,23,8,21,0
181,110,58,23,8,21,0
182,110,57,23,8,22,0
183,110,57,22,9,22,0
184,110,58,22,9,21,0
185,110,58,22,8,22,0
186,111,58,21,9,22,1
187,113,60,21,9,21,2
188,114,62,22,8,21,1
189,114,63,23,7,21,0
190,114,64,22,8,20,0
191,114,65,22,8,19,0
192,114,65,23,8,18,0
193,115,65,23,8,18,1
194,115,67,23,7,18,0
195,115,67,22,8,18,0
196,115,64,23,8,20,0
197,115,64,23,8,20,0
198,115,64,25,6,20,0
199,115,63,24,7,21,0
200,115,63,25,7,20,0
201,116,65,25,6,19,1
202,116,65,24,7,20,0
203,116,66,24,7,19,0
204,116,67,23,8,18,0
205,116,67,25,6,18,0
206,116,67,24,7,18,0
207,116,65,26,6,19,0
208,116,64,27,6,19,0
209,118,62,26,8,20,2
210,119,63,28,8,19,1
211,119,60,30,9,20,0
212,119,62,29,8,20,0
213,119,63,28,9,19,0
214,119,61,29,10,19,0
215,119,63,29,9,18,0
216,119,62,30,9,18,0
217,119,65,30,7,17,0
218,119,66,30,7,16,0
219,119,65,29,8,17,0
220,119,65,29,8,17,0
221,119,65,29,8,17,0
222,119,64,30,8,17,0
223,119,66,29,9,15,0
224,119,67,29,9,14,0
225,119,67,29,10,13,0
226,119,69,29,8,13,0
227,119,66,29,10,14,0
228,119,65,29,11,14,0
229,119,62,28,12,17,0
230,119,63,28,12,16,0
231,120,62,28,13,16,1
232,120,61,29,13,17,0
233,121,63,29,11,17,1
234,121,64,30,11,16,0
235,121,63,29,12,17,0
236,121,64,29,11,17,0
237,121,64,30,10,17,0
238,121,65,31,10,15,0
239,121,66,31,10,14,0
240,121,65,31,10,15,0
241,122,65,32,9,15,1
242,123,66,34,8,14,1
243,123,66,35,8,14,0
244,123,65,37,7,14,0
245,124,63,39,7,14,1
246,124,66,39,6,13,0
247,125,65,39,7,13,1
248,125,67,40,7,11,0
249,125,66,40,8,11,0
250,125,66,40,8,11,0
251,126,66,38,10,11,1
252,126,66,36,11,13,0
253,127,65,35,12,14,1
254,127,66,34,13,14,0
255,127,64,35,13,15,0
256,128,63,36,13,15,1
257,128,66,35,12,15,0
258,128,68,33,13,14,0
259,128,68,33,13,14,0
260,128,67,33,14,14,0
261,128,69,33,14,12,0
262,129,71,32,13,12,1
263,129,74,32,11,12,0
264,130,73,33,11,12,1
265,130,71,35,11,13,0
266,130,71,36,11,12,0
267,130,73,36,9,12,0
268,131,74,36,8,12,1
269,132,76,34,9,12,1
270,132,78,34,9,11,0
271,132,77,36,8,11,0
272,133,77,36,8,11,1
273,133,77,34,9,13,0
274,133,77,33,10,13,0
275,134,74,35,10,14,1
276,134,74,36,10,14,0
277,134,75,36,9,14,0
278,134,77,34,10,13,0
279,134,75,32,13,14,0
280,134,73,32,13,16,0
281,134,74,32,12,16,0
282,134,74,33,12,15,0
283,135,73,34,12,15,1
284,135,75,33,12,15,0
285,135,74,33,12,16,0
286,135,71,36,12,16,0
287,135,72,34,14,15,0
288,135,72,34,14,15,0
289,135,71,35,14,15,0
290,135,70,36,14,15,0
291,136,70,36,15,14,1
292,137,70,36,16,14,1
293,137,72,33,18,14,0
294,138,72,34,17,14,1
295,138,73,34,17,14,0
296,139,72,35,16,15,1
297,139,72,36,15,16,0
298,139,72,37,15,15,0
299,139,74,36,13,16,0
300,140,70,38,13,18,1
301,140,70,41,13,16,0
302,140,69,43,12,16,0
303,140,72,42,12,14,0
304,140,72,42,11,15,0
305,141,73,43,10,14,1
306,141,74,41,12,14,0
307,141,77,41,9,14,0
308,142,75,43,9,14,1
309,142,76,41,11,14,0
310,142,73,42,11,16,0
311,142,73,43,10,16,0
312,142,72,43,11,16,0
313,142,71,44,11,16,0
314,142,70,45,10,17,0
315,142,71,44,9,18,0
316,143,71,43,10,18,1
317,143,70,41,13,19,0
318,143,69,42,14,18,0
319,143,67,43,14,19,0
320,143,68,42,15,18,0
321,144,68,42,15,18,1
322,145,69,40,18,17,1
323,145,70,40,18,17,0
324,145,70,40,18,17,0
325,145,71,40,17,17,0
326,145,72,39,17,17,0
327,145,71,41,16,17,0
328,145,71,42,15,17,0
329,145,71,43,15,16,0
330,145,69,44,16,16,0
331,145,69,43,17,16,0
332,145,72,43,14,16,0
333,145,72,44,14,15,0
334,145,72,44,14,15,0
335,146,72,43,15,15,1
336,146,73,43,15,15,0
337,146,75,43,14,14,0
338,148,74,41,16,15,2
339,148,77,39,17,15,0
340,148,76,38,17,17,0
341,149,75,37,19,17,1
342,150,75,36,20,18,1
343,150,77,35,21,17,0
344,150,76,32,25,17,0
345,150,77,33,24,16,0
346,150,80,31,22,17,0
347,150,80,31,21,18,0
348,150,78,31,22,19,0
349,151,77,30,23,20,1
350,152,78,31,22,20,1
351,152,76,33,22,21,0
352,152,78,33,20,21,0
353,152,79,32,19,22,0
354,152,78,33,19,22,0
355,152,79,33,18,22,0
356,152,82,33,17,20,0
357,152,81,34,17,20,0
358,152,79,35,17,21,0
359,153,79,37,15,21,1
360,153,80,36,16,21,0
361,153,78,37,17,21,0
362,153,79,37,16,21,0
363,153,77,37,16,23,0
364,153,80,37,16,20,0
365,154,79,37,16,21,1
366,154,80,36,17,21,0
367,155,80,36,17,21,1
368,156,80,35,17,23,1
369,157,82,36,15,23,1
370,157,81,34,17,25,0
371,157,82,36,14,25,0
372,157,80,35,15,27,0
373,158,81,35,14,27,1
374,158,83,36,13,26,0
375,158,84,35,13,26,0
376,158,84,35,13,26,0
377,158,82,36,14,26,0
378,159,81,36,14,27,1
379,159,82,37,12,28,0
380,159,81,36,13,29,0
381,159,81,34,15,29,0
382,159,83,33,16,27,0
383,159,84,34,16,25,0
384,159,86,34,15,24,0
385,159,84,35,14,26,0
386,159,82,36,14,27,0
387,159,82,35,15,27,0
388,159,82,34,16,27,0
389,159,82,34,15,28,0
390,160,84,34,14,27,1
391,160,84,32,16,28,0
392,161,79,31,18,32,1
393,161,77,32,19,33,0
394,161,77,32,19,33,0
395,161,76,32,19,34,0
396,161,77,31,20,33,0
397,161,79,30,19,33,0
398,161,79,30,19,33,0
399,162,79,30,18,34,1
400,162,81,29,17,35,0
401,162,82,29,17,34,0
402,162,81,30,17,34,0
403,163,84,30,16,32,1
404,163,85,30,16,32,0
405,163,85,30,15,33,0
406,163,90,28,13,32,0
407,163,90,27,14,32,0
408,164,92,27,13,31,1
409,164,94,27,13,30,0
410,166,93,29,12,30,2
411,166,98,29,10,29,0
412,168,99,29,9,29,2
413,168,102,28,9,29,0
414,168,102,28,9,29,0
415,168,100,28,10,30,0
416,169,101,27,12,28,1
417,169,104,27,12,26,0
418,169,103,26,13,27,0
419,170,102,26,13,28,1
420,170,104,26,13,27,0
421,171,103,26,14,27,1
422,171,104,28,14,25,0
423,172,101,31,14,25,1
424,172,102,31,14,25,0
425,172,103,31,13,25,0
426,172,102,29,16,25,0
427,173,103,29,15,25,1
428,174,105,29,13,26,1
429,174,105,28,14,27,0
430,174,103,28,16,27,0
431,174,101,32,14,27,0
432,174,101,30,16,27,0
433,175,99,33,14,28,1
434,175,101,33,13,28,0
435,175,104,32,11,28,0
436,175,105,31,12,27,0
437,176,103,32,12,28,1
438,176,104,32,12,28,0
439,176,102,34,12,28,0
440,176,103,34,11,28,0
441,177,106,33,12,25,1
442,178,108,34,10,25,1
443,178,110,34,9,25,0
444,178,108,35,9,26,0
445,178,105,37,10,26,0
446,178,106,33,13,26,0
447,178,105,33,14,26,0
448,178,103,33,15,27,0
449,178,103,34,14,27,0
450,178,101,36,14,27,0
451,178,102,35,14,27,0
452,178,102,34,14,28,0
453,178,104,34,13,27,0
454,178,103,35,12,28,0
455,178,103,35,13,27,0
456,178,105,35,9,29,0
457,179,103,37,8,30,1
458,179,106,37,7,29,0
459,180,106,37,6,30,1
460,181,108,36,6,30,1
461,181,108,36,7,30,0
462,181,108,35,8,30,0
463,181,109,35,7,30,0
464,181,107,35,7,32,0
465,181,105,38,7,31,0
466,181,105,36,9,31,0
467,181,105,36,9,31,0
468,181,106,36,8,31,0
469,182,105,36,9,31,1
470,182,104,36,10,32,0
471,182,104,37,10,31,0
472,182,106,36,11,29,0
473,182,104,36,12,30,0
474,182,106,34,14,28,0
475,183,105,33,14,30,1
476,183,103,33,15,32,0
477,183,101,32,16,34,0
478,184,99,32,18,34,1
479,184,101,32,17,34,0
480,184,100,33,15,36,0
481,185,98,35,15,36,1
482,185,95,38,15,37,0
483,185,100,37,13,35,0
484,186,100,36,15,34,1
485,186,101,35,16,34,0
486,186,102,33,18,33,0
487,187,99,35,18,34,1
488,189,100,35,17,35,2
489,189,99,38,17,35,0
490,189,103,35,17,34,0
491,189,105,34,18,32,0
492,190,107,35,14,33,1
493,190,107,33,17,33,0
494,190,105,34,18,33,0
495,190,106,34,17,33,0
496,190,107,33,18,32,0
497,192,108,32,18,32,2
498,193,109,32,18,33,1
499,193,112,28,21,32,0
500,193,111,30,20,32,0
501,194,109,32,20,32,1
502,194,112,31,21,30,0
503,194,110,33,20,31,0
504,195,108,35,20,31,1
505,196,108,35,20,32,1
506,196,110,34,21,31,0
507,196,110,33,22,31,0
508,196,111,34,21,30,0
509,196,110,37,20,29,0
510,196,112,36,20,28,0
511,196,108,36,20,32,0
512,197,108,36,20,32,1
513,198,109,37,21,30,1
514,198,110,36,22,30,0
515,198,108,38,22,30,0
516,201,107,39,23,29,3
517,201,111,40,20,30,0
518,202,110,39,22,30,1
519,202,112,39,21,30,0
520,203,112,40,21,29,1
521,203,113,40,21,29,0
522,203,112,41,20,30,0
523,204,111,40,22,30,1
524,204,114,38,23,29,0
525,204,117,37,19,31,0
526,206,119,37,19,29,2
527,206,121,37,19,29,0
528,206,120,37,19,30,0
529,206,117,38,22,29,0
530,207,117,36,23,30,1
531,207,117,37,24,29,0
532,207,117,37,22,31,0
533,208,119,38,22,28,1
534,209,120,39,22,27,1
535,210,123,41,22,23,1
536,210,123,42,22,23,0
537,210,122,42,22,24,0
538,210,122,43,21,24,0
539,210,122,45,19,24,0
540,211,119,49,18,24,1
541,211,121,49,17,24,0
542,211,121,50,17,23,0
543,211,120,50,17,24,0
544,211,121,48,18,24,0
545,212,122,50,16,23,1
546,212,122,50,17,23,0
547,212,119,50,18,25,0
548,212,119,49,19,25,0
549,212,121,50,19,22,0
550,212,119,50,20,23,0
551,212,118,51,20,23,0
552,212,123,51,17,21,0
553,212,122,52,17,21,0
554,214,122,52,16,22,2
555,215,122,53,16,23,1
556,215,119,54,17,25,0
557,216,121,54,15,25,1
558,216,124,51,15,26,0
559,216,123,51,16,26,0
560,216,123,49,18,26,0
561,218,120,50,18,28,2
562,218,121,50,19,28,0
563,218,120,49,20,29,0
564,218,118,50,21,29,0
565,219,116,53,19,30,1
566,219,117,52,20,30,0
567,219,117,53,18,31,0
568,219,118,52,17,32,0
569,219,118,51,19,31,0
570,220,119,52,18,30,1
571,220,124,52,17,27,0
572,220,123,54,15,28,0
573,220,121,56,14,29,0
574,220,121,57,14,28,0
575,220,122,60,14,24,0
576,220,122,61,13,24,0
577,220,121,60,15,24,0
578,221,119,63,14,24,1
579,221,120,63,14,24,0
580,221,119,64,14,24,0
581,222,118,63,16,24,1
582,223,118,63,17,24,1
583,223,120,63,17,23,0
584,223,120,64,17,22,0
585,223,121,65,16,21,0
586,223,120,64,18,21,0
587,226,122,64,17,20,3
588,226,125,63,18,20,0
589,226,124,64,19,19,0
590,226,124,63,19,20,0
591,228,125,62,19,20,2
592,228,126,58,22,22,0
593,228,126,56,23,23,0
594,228,126,56,23,23,0
595,228,127,55,22,24,0
596,228,126,55,23,24,0
597,228,124,56,23,25,0
598,229,124,58,22,24,1
599,229,124,57,24,24,0
600,230,125,57,23,24,1
601,230,128,57,21,24,0
602,230,122,59,22,27,0
603,230,125,58,22,25,0
604,230,124,59,21,26,0
605,230,124,60,21,25,0
606,230,121,62,22,25,0
607,230,122,59,24,25,0
608,230,125,58,23,24,0
609,230,122,58,24,26,0
610,231,120,58,25,27,1
611,234,119,59,26,27,3
612,235,121,58,27,28,1
613,235,122,59,26,28,0
614,235,122,58,27,28,0
615,235,122,57,29,27,0
616,235,122,55,30,28,0
617,235,124,56,29,26,0
618,235,123,55,31,26,0
619,235,124,52,33,26,0
620,235,119,54,33,29,0
621,235,118,53,33,31,0
622,235,120,53,31,31,0
623,235,121,51,32,31,0
624,235,122,51,31,31,0
625,235,122,51,31,31,0
626,236,125,50,31,29,1
627,236,125,52,30,29,0
628,236,125,53,29,29,0
629,236,125,53,30,28,0
630,237,125,53,30,28,1
631,237,127,49,33,28,0
632,238,130,47,33,27,1
633,238,132,47,31,28,0
634,238,134,45,29,30,0
635,238,134,43,31,30,0
636,238,135,45,29,29,0
637,238,135,45,28,30,0
638,238,139,46,23,30,0
639,238,138,46,22,32,0
640,238,136,48,19,35,0
641,238,136,48,19,35,0
642,238,138,47,19,34,0
643,239,140,46,19,33,1
644,239,141,47,18,33,0
645,239,140,46,19,34,0
646,239,138,47,20,34,0
647,239,138,48,19,34,0
648,240,137,48,19,35,1
649,240,138,48,20,34,0
650,240,133,50,20,37,0
651,240,134,47,21,38,0
652,240,134,46,21,39,0
653,241,134,45,22,39,1
654,241,135,45,22,39,0
655,244,134,44,23,40,3
656,245,137,45,22,40,1
657,245,138,45,21,41,0
658,245,140,45,20,40,0
659,245,141,45,19,40,0
660,246,141,45,20,39,1
661,246,139,46,22,39,0
662,246,138,48,21,39,0
663,248,138,48,21,39,2
664,248,139,49,19,41,0
665,248,136,51,20,41,0
666,248,138,50,20,40,0
667,248,141,50,19,38,0
668,248,141,51,18,38,0
669,249,142,51,17,38,1
670,250,140,53,17,39,1
671,250,142,52,16,40,0
672,251,142,53,15,40,1
673,252,143,52,14,42,1
674,253,143,52,15,42,1
675,254,146,53,12,42,1
676,254,143,55,14,42,0
677,254,144,54,15,41,0
678,254,141,56,16,41,0
679,255,141,56,17,40,1
680,256,141,53,21,40,1
681,257,137,56,20,43,1
682,257,139,56,20,42,0
683,257,139,55,21,42,0
684,258,137,56,22,42,1
685,258,137,58,22,41,0
